#GENE.ID	FC
FAM13A-AS1	0.407740937
FAM160A2	0.274595039
FAM174A	0.987315986
FAM219B	0.390791668
FBP1	1.071335306
FBXW4	-0.407078474
FCGR2C	0.462219452
FCHO2	0.814159151
FCN1	-0.383875563
FERMT3	-0.385181696
FHOD1	0.350591959
FIS1	-0.453831461
FNIP1	0.448306079
FRAT1	0.59105671
FRAT2	0.664745749
FRMD8	0.468313956
FRY	0.820958268
FTH1	0.357678793
FUT7	0.449460771
G3BP2	-0.22301704
GAB3	0.327123346
GAPDH	-0.335920473
GAPT	0.367754483
GAPVD1	0.323138163
GDI1	0.288975581
GDI2	-0.193737027
GDPD3	0.734131647
GGNBP2	0.278722907
GHITM	-0.230822213
GIMAP2	-0.390830143
GLT1D1	0.487447111
GNG10	0.666132921
GNL2	-0.331000747
GNPAT	-0.210638365
GNPDA1	-0.363567939
GOLGA7	0.338025134
GPI	-0.342073538
GRN	-0.343441968
GSTO1	-0.470513957
GTF2H2B	-0.320161552
HADHA	-0.264356482
HAPLN3	-0.900971047
HAUS1	-0.612683933
HAX1	-0.437499643
HCK	0.403711338
HEXIM1	0.234371823
HLA-DMA	-0.492359423
HLA-DMB	-0.545816504
HLA-DPA1	-0.519976033
HLA-DQA2	-1.412073606
HLA-DRA	-0.429711037
HNRNPR	-0.338251161
HOPX	1.303731394
HSD17B11	0.243189094
HSPA7	0.636716092
HSPA9	-0.303508566
HSPBAP1	0.582304817
ICAM3	0.506248738
IDH2	-0.545369251
IDS	0.437276883
IFI44L	-1.813214607
IKBIP	0.621764881
IKBKB	0.268141303
IL1RAP	0.575079457
IL6ST	-0.321099941
IMPDH1	0.367032401
IPCEF1	-0.256459668
IRAK4	0.278341226
ISG15	-1.580689555
IST1	0.206031134
ISY1	0.583808537
ITGA5	0.546574168
ITGAX	0.597520451
ITSN2	0.339664093
JAK3	0.317288568
KATNBL1	1.187359901
KBTBD2	0.265176649
KDM1B	-0.49243735
KDM5C	0.340596798
KIAA0100	-0.241048788
KLF10	-0.485850513
KLF2	0.459487111
KLF7	0.587637785
KLHL2	0.563914201
KLHL21	0.460453988
KPNA1	0.455964512
KRCC1	0.372813435
KYNU	-0.725340341
LARP7	-0.301810477
LASP1	0.171555718
LDB1	0.254091678
LFNG	0.541282475
LILRB2	0.344767816
LIPA	-0.622228972
LITAF	0.420049813
LMAN1	-0.314899353
LOC284454	0.930031248
LOC729737	0.467359953
LRG1	0.677628123
LRMP	0.427962043
LRRC25	0.370840497
LRRC8C	-0.230965738
LRRC8D	-0.336406768
LSM5	-0.402981069
LST1	0.326477284
LTF	-3.107268116
LY6E	-1.330651727
LY75	-0.464337828
LYRM1	-0.558401875
LYZ	-0.563642003
MAEA	0.28446048
MALAT1	0.288788687
MAML1	0.294919412
MANBA	0.285385953
MAP2K3	0.295507761
MAP2K4	0.3537714
MAP3K2	0.404463963
MARK2	0.239974511
MATR3	-0.175431371
MAVS	0.197062099
MBD6	0.353861685
MBOAT7	0.43472047
MBP	0.427299239
MBTPS1	-0.255673276
MCL1	0.292713353
MCM3	-0.459886816
MDH2	-0.306903025
MEF2D	0.434447902
METTL4	-0.502644599
METTL7A	0.398254768
MFN2	0.744454699
MFSD5	0.300916708
MGST1	-0.521758114
MIAT	0.526149304
MID1IP1	0.422814646
MKKS	-0.348100623
MLH1	-0.484534519
MLLT6	-0.211739728
MMP25	0.82340143
MNT	0.311977042
MOB3A	0.330200986
MPEG1	-0.404563469
MPI	-0.547829328
MPPE1	0.467433378
MPV17	-0.434115112
MPZL1	1.077577162
MRFAP1L1	0.234335223
MRPL16	-0.725093867
MRPL34	-0.847976102
MRPS10	-0.505591146
MRVI1	1.019151824
MSL1	0.523931938
MTCH1	0.236537617
MTF2	-0.348348337
MTO1	-0.612115022
MTSS1	0.526083357
MTX1	0.503487079
MXD1	0.420464441
MYADM	0.540052078
MYLIP	0.292169436
NACC2	0.546388536
NARF	0.67492639
NASP	-0.436536273
NCAPD2	-0.405378143
NCAPH2	-0.695818915
NCOA7	-0.851486826
NDEL1	0.552066887
NDFIP1	-0.209636435
NDUFA11	-0.503154313
NDUFA4	-0.470008617
NDUFA5	-0.452390927
NDUFA6	-0.325265398
NDUFB8	-0.484069263
NDUFC1	-0.529772284
NEAT1	0.249591144
NFAT5	0.247245722
NKIRAS2	-0.293933688
NLRP3	-0.421893843
NMRK1	-0.530920922
NOP10	0.436316461
NPEPPS	0.453552121
NPM1	-0.395209319
NPRL3	-0.746366612
NRAS	-0.390481035
NRBF2	0.535239928
NUAK2	0.734348834
NUCB2	-0.534932191
NUDT2	-0.68239761
NUFIP2	0.323798639
OAZ2	0.385176123
OCIAD1	-0.194833439
ODC1	-0.423209605
OS9	0.200048866
P2RX1	0.806234753
P2RY13	0.319880325
PACSIN2	0.599206551
PADI2	0.679751711
PBXIP1	0.562040923
PCBP2	0.162920139
PCMT1	-0.275607186
PECAM1	0.764623623
PEPD	-0.375646005
PFDN6	-0.599762005
PFKFB4	0.490595451
PGS1	0.608111954
PHF20	0.207851623
PHF20L1	0.339786962
PHF21A	0.587683023
PI4KAP2	0.492945096
PICALM	0.406545117
PIK3CD	0.379593716
PIM3	0.403348291
PITPNA	0.335922281
PITPNB	0.259503889
PLCB2	0.337350588
PNRC1	0.427808982
POLG	0.289778998
POMP	-0.537542573
PPM1F	0.562352049
PPP1R7	-0.396893665
PRPF4	0.454531257
PSMA1	-0.255185087
PSMA3	-0.383822012
PSMA4	-0.499273408
PSMA5	-0.518022012
PSMA6	-0.636427095
PSMB10	-0.491275583
PSMB2	-0.400738894
PSMB7	-0.546895623
PSMD1	-0.315962648
PSMD14	-0.578944995
PSMD7	-0.241945688
PSMD8	-0.337930698
PSMG2	-0.30117979
PTAFR	0.502253329
PTDSS1	-0.405324386
PTGER4	0.335289694
PTOV1-AS1	0.692431656
PTP4A1	-0.408293484
PTPRJ	0.365184996
PXN	0.402439753
R3HDM4	0.396735401
RAB11FIP1	0.47648474
RAB37	0.279421025
RAB3D	0.385224148
RAB3GAP1	-0.379270689
RAF1	0.287861285
RALBP1	0.374620759
RALGPS2	0.685768003
RALY	-0.226025685
RANBP6	0.292490876
RAP1GAP2	0.235197249
RARA	0.517085912
RASSF2	0.349336019
RBM33	0.29327634
RBM39	0.267023073
RBM4B	0.367331501
RBM5	0.255802282
RBM7	-0.739395714
RC3H1	0.23473668
RCN3	0.674354006
RFC1	-0.31411189
RGS2	0.626227662
RHEB	-0.539196951
RHOB	0.61962092
RHOF	-0.354627986
RNASET2	0.693718088
RNF103	0.302633138
RNF149	0.285742581
RNF40	-0.207772783
RNF44	0.331478203
RPL28	-0.273361675
RPS10	-0.312943543
RPS25	-0.302095563
RPS4X	0.321647833
RRAGC	0.306327455
RSL24D1	-0.230011428
RTN3	0.458937035
RWDD3	-0.563894517
RWDD4	0.595299883
RXRA	0.314438283
S1PR4	0.718114945
SAE1	-0.367962467
SAP30BP	0.28315544
SBNO1	0.182927162
SCAF4	0.264773676
SDF2	-0.407481941
SDHA	-0.25296501
SEC13	-0.237943623
SEC14L1	0.402318683
SEC23B	-0.235388563
SEC61G	-0.330175408
SECISBP2	0.254672366
SELPLG	0.35181435
SERINC5	0.40105729
SERPINA1	0.350896812
SERPINB8	-0.340652245
SFXN3	0.367437158
SGK1	1.134924863
SHKBP1	0.373301287
SIGLEC10	0.738029198
SIN3B	0.389835081
SIRPA	0.503184488
SIRT7	0.378264782
SLC12A9	0.498054981
SLC25A44	0.418338792
SLC25A5	-0.270532738
SLC29A1	1.252392824
SLC30A5	-0.379977561
SLC35A4	-0.374496432
SLC35B1	-0.369261206
SLC35E2B	0.333450341
SLC36A1	0.4869409
SLC39A6	-0.520915678
SLC44A2	0.403539183
SLC6A6	0.602635496
SLC9A3R1	0.341612853
SLC9A8	0.378345339
SMC4	-0.311050182
SMIM15	-0.415687443
SMIM7	-0.429163108
SMUG1	-0.774947412
SND1	-0.303421243
SNHG5	-0.612716163
SNX1	0.203806683
SOD1	-0.427100018
SORD	0.735605689
SORL1	0.765499021
SPECC1	-0.565925295
SPPL3	0.315436263
SPTLC1	-0.306707996
SPTLC2	-0.610716428
SRBD1	-0.528716148
SRP72	-0.429159799
SSBP1	-0.510864598
SSH3	0.451855549
SSR3	-0.394798446
ST20	0.88575108
ST3GAL1	0.314052412
ST8SIA4	0.414369762
STAC3	-0.959858612
STAT5B	0.483554104
STEAP4	0.531035768
STK10	0.222299149
STK38	0.219163731
STOM	-0.552411221
STX16	0.233231333
STYXL1	-0.587557736
SUB1	-0.275877587
SUCLG2	-0.395102343
SUGP2	0.255519952
SWAP70	0.314164147
SYNRG	-0.26757384
SZRD1	-0.229034276
TADA2B	0.241783024
TAGLN2	0.703023361
TAOK2	0.247059128
TAPBPL	-0.363763395
TBC1D14	0.484668814
TBL1X	0.43686757
TCL1A	1.110189048
TDP2	0.414040173
TGFA	1.018248765
THOC5	0.617233068
TIGIT	0.505751951
TIMM17A	-0.521933626
TIMM23	-0.520462678
TLE3	0.861526576
TLR6	0.446500877
TMED7	-0.440941468
TMEM181	0.388456403
TMEM208	-0.503303206
TMEM258	-0.524641343
TMEM43	0.391330158
TMEM50A	0.211628383
TMEM71	0.353001794
TMSB10	-0.462990563
TMX3	-0.410892588
TMX4	0.782596042
TNFRSF1A	0.377726889
TNFSF8	-0.440250748
TNIP2	0.385949864
TP53INP1	0.461975098
TRAF1	0.312894709
TRAP1	-0.351268622
TRERF1	0.454141463
TRIB2	0.288981425
TRIM11	0.511288519
TRIM26	-0.309344858
TRIM27	0.372312031
TRIM8	0.573588384
TSC22D3	0.709935808
TSPAN13	0.755339147
TTC17	-0.388364547
TUBA1A	0.440685575
TUBB	-0.351739098
TUFM	0.483497729
TXNL4A	-0.401488189
U2AF1	0.337935498
UBA1	0.276810679
UBE2E1	-0.411430031
UBE2K	-0.264353235
UBL4A	0.464180228
UQCR10	-0.414922612
UQCRFS1	-0.579721637
UQCRQ	-0.529782775
USP1	-0.347621858
USP19	0.281966092
USP8	-0.475743913
VAMP5	-1.274833013
VASP	0.250403785
VEZF1	0.254954825
VNN3	0.800204798
VPS13C	-0.287890633
VPS26B	0.267265439
VPS29	-0.38818732
VPS36	0.327882723
WAS	0.199183095
WASH7P	0.340863128
WBP11	-0.261480437
WDR41	-0.631863278
WIPF2	0.39072791
WWC3	0.398091776
XPO1	-0.397267525
YIPF1	0.526386987
YPEL3	0.460992449
ZBTB2	-0.297176683
ZBTB34	0.681325883
ZDHHC18	0.358374718
ZDHHC2	-0.490107783
ZFP36L1	0.776699276
ZNF101	-0.518697234
ZNF217	0.3294087
ZNF274	0.219662702
ZNF333	0.598316008
ZNF335	0.357740961
ZNF394	-0.4153102
ZNF467	0.364317325
ZNF511	0.565898701
ZNF559	0.830040442
ZNF592	0.275145703
ZNF639	-0.375292502
ZNF652	0.286361195
ZNF692	0.378629678
ZNF746	0.581092564
ZRANB1	0.25747978
ZRSR2	0.402002033

