#Official	logFC
BTN1A1	1.042
LIN9	0.831
CDC42EP2	-1.228
PLEC	-0.897
NSMCE1	-0.765000000000001
NAPRT	-1.54
APP	0.717000000000001
TNFSF13	-0.49
SPAG7	-0.784999999999998
TPT1	-0.591999999999999
CYBA	-1.194
FCGRT	-0.975999999999999
SLC25A11	-0.669
ITM2C	1.461
ARSA	-0.782
NOTCH4	-0.883
TECPR1	-0.566000000000001
BTG3	0.665
UCHL5	0.381
CD48	-0.567
C1orf54	-1.149
ZCCHC2	1.449
ABHD11	-0.734
HIRA	0.494999999999999
EPN1	-0.843999999999999
MTHFD1	0.72
HMOX1	-0.818999999999999
DENND6B	-1.116
ZNF385A	-1.132
ARHGAP11B	1.564
TMUB1	-1.13
MSRB3	0.889999999999999
PLA2G6	-0.833
SPC24	0.982
AP2A1	-0.516
FAM89B	-1.016
SYT17	-1.251
PELATON	-0.914000000000001
RPS2	-0.992000000000001
WDR13	-0.874000000000001
UBXN11	-1.026
ZC3HAV1L	1.073
SGSM2	-0.680999999999999
TMEM97	0.734
PDLIM2	-0.869
MYB	1.066
PPP2R3B	-1.014
ID3	-1.33
KIAA1958	1.248
CYTH4	-0.829000000000001
CAPS	-1.346
MOXD1	1.68
CRIP2	-2.015
RSU1	0.668999999999999
PLD2	-0.634
CLTB	-0.863999999999999
SLC39A4	-1.426
RTL8A	-0.61
REEP3	0.537000000000001
MPHOSPH9	0.84
CIC	-0.708
ZNF358	-1.321
BHLHA15	2.618
SLC22A16	1.114
KCNA2	1.099
RPL13A	-1.001
MINDY4	0.98
SUGP1	-0.537999999999998
ARFRP1	-0.970000000000001
NUDT22	-1.026
OCEL1	-0.882
MNT	-0.484
CORO7	-1.122
SURF2	-0.954
SMTNL1	2.202
BRCA1	0.823
PYCARD	-1.025
DBF4	0.627
LSP1	-0.751000000000001
CSF1R	-1.078
PSMF1	-0.375999999999999
MAP1S	-1.058
GNPTG	-0.689
SLC16A14	1.821
EEF1G	-0.795
VPS51	-1.164
CARD9	-1.414
AP1M1	-0.491
NFATC2IP	0.403999999999998
CADM1	1.509
EPDR1	0.819
SCAP	-0.669
APRT	-1.19
JADE3	0.913
RCL1	0.589
TBCB	-0.595000000000001
NDRG2	-0.984
CCDC61	-1.093
AAMP	-0.568999999999999
FGFR1	0.681
PKN1	-0.908999999999999
FZD3	0.677
FTL	-0.762
HSD17B1	-0.952
TMEM141	-0.983000000000001
RAB11B	-0.869
FIZ1	-0.511
MVP	-0.853999999999999
RNASEK	-0.854000000000001
INTS7	0.504
RIPOR1	-0.58
ZNF703	-1.914
IRAK2	1.082
PRIM1	0.583
ICAM3	-0.847
SLA2	0.795999999999999
FOLR2	-1.174
LILRB2	-0.567
LIPH	0.845
C2CD3	0.693999999999999
LRRC61	-1.003
LSM6	-0.628
ALDOA	-0.801
DENND5B	1.579
ACADM	0.678000000000001
TMEM115	-0.737
SLC25A6	-1.096
H2BC11	0.907
ZBTB7A	-0.465
PFDN5	-0.708
RPLP2	-1.275
CCDC88B	-1.049
ABLIM3	0.882
SYNJ2	0.921
ASGR1	-1.364
BTN3A1	1.037
RPL18A	-1.206
TOMM7	-0.724
CAV2	1.322
FUT7	-1.391
SLC25A1	-0.787999999999999
AK3	0.301
PEAR1	0.939
GPBAR1	-1.187
PSMG4	-0.436
UPK3A	-1.746
OXER1	-1.004
CREB3L2	0.585999999999999
POLD4	-0.838000000000001
MANEA	1.029
WDR25	-0.718
RPS6	-0.653
PIMREG	1.275
GINS3	0.673
TMEM134	-1.058
DNAJB2	-0.700999999999999
DPP7	-1.554
RCN3	-1.212
CKS2	0.741000000000001
INO80E	-0.666
SH3TC2	1.182
PUSL1	-1.224
RPL6	-0.618
BMP8B	0.882000000000001
RPS11	-0.693
COBLL1	1.356
SAT2	-0.668999999999999
ABCD4	-0.501999999999999
CEP97	1.197
DBNL	-0.461
ATF6B	-0.298000000000002
SPICE1	0.744
ARRB1	-0.529
IFFO1	-0.525
DNAJC9	0.552999999999999
SSX2IP	0.694000000000001
CALU	0.588000000000001
STMN3	-1.181
DAGLA	-1.092
CYP51A1	0.631
GSTCD	1.026
SLC2A6	-1.093
SLC27A2	1.25
SHARPIN	-1.119
POU2AF1	1.524
S1PR4	-1.487
BCAP31	-0.58
PARVG	-0.458
PPP2R1A	-0.651
VENTX	-0.919
PEAK1	0.789000000000001
NANS	-0.693
MTRNR2L3	-0.815
FKBP11	0.909000000000001
SIKE1	0.554
FGD3	-0.672000000000001
CENPB	-0.960000000000001
ERG	1.979
PNPLA6	-0.856000000000002
GRK6	-0.654999999999999
C15orf39	-0.748000000000001
DPY19L1	0.597
RNH1	-1.208
LRP8	0.611
KLF16	-0.715999999999999
RXRA	-0.619
CDK9	-0.369
SGTA	-0.782999999999999
ATG4B	-0.581
CLEC10A	-1.422
RPLP1	-1.299
GNB2	-0.956
CROCC	-1.063
NOSIP	-0.880000000000001
TFDP1	0.504999999999999
CHAF1B	0.448
CENPS	0.629
PSMB10	-1.12
CEP76	0.58
LAPTM4B	0.865
C21orf58	0.673999999999999
LANCL3	0.982
GRAMD4	-0.337
KIAA1614	0.936999999999999
SELENOP	1.581
PI4K2B	0.643000000000001
ANP32E	0.583
SLC25A51	0.666
PAOX	-0.879
BCKDK	-0.652000000000001
NUDT14	-1.322
DOK2	-0.981999999999999
FAM149B1	0.598999999999999
GART	0.456
RGS12	-1.008
CUEDC1	-0.862
ZBTB32	1.309
C1orf112	0.432
CHKB	-0.32
ZNF580	-0.763
EDEM1	0.591000000000001
LAX1	1.463
TTLL12	-0.638999999999999
FAM234A	-0.886
RYR1	-0.954000000000001
LYNX1	-1.808
TM7SF3	0.356999999999999
SIRT6	-1.079
ZNF784	-0.7
TP53I13	-1.33
PSTPIP1	-0.921999999999999
NECAP2	-0.34
S100PBP	0.411
MCRIP1	-1.454
RFC4	0.552
ASS1	1.073
IL18BP	-0.601999999999999
MED11	-0.516
UBOX5	-0.430999999999999
H2BC9	1.239
DOK4	-0.979
CAPNS1	-0.59
HMGB3	0.859
PIR	1.043
CYB561A3	-0.48
TRIR	-0.625999999999999
RPS20	-0.85
TBC1D17	-0.548999999999999
DVL1	-1.035
SERPINB6	-0.66
STON1	0.852
TEX9	1.346
SCAMP2	-0.449999999999999
ITFG1	0.523
AMIGO2	0.661
ZBTB22	-0.438000000000001
ACD	-0.826
OSGEP	-0.587999999999999
IDH3G	-0.746
ZNF414	-1.021
RBM10	-0.539
ZNF788P	0.921
RPL19	-0.805
MYG1	-0.706999999999999
JUNB	-1.123
SLC43A2	-0.680999999999999
DOC2B	2.089
MAFK	-0.611
LYPLA2	-0.813000000000001
BMP6	0.864
RPL9	-0.704000000000001
VEGFB	-0.896
LHPP	-0.855
CBX5	0.540000000000001
CFAP94	-0.755
BHLHE41	1.615
OR52K1	1.12
CCNA1	1.997
CBX8	-0.805
RPL21	-0.643000000000001
SLC1A4	0.788
ZFAND4	0.54
PHKG2	-0.558
CCDC134	0.55
SPSB1	0.698
CRACD	1.327
LENG9	-1.329
GSTZ1	-0.895
TSSC4	-1.193
POLM	-0.470000000000001
PNKP	-0.581
CCDC153	-1.029
DENND1C	-0.520999999999999
H2BC8	1.159
SDHAF1	-0.757
MAN2B1	-0.742000000000001
ELOB	-1.318
LMF2	-1.02
IGLC2	2.945
EIF3M	-0.42
SMIM13	0.352
STON2	0.941
MAF1	-0.569999999999999
PELI3	-0.834
SART1	-0.737
SPSB3	-1.027
H2BC7	1.704
ARFGAP2	-0.445
TRABD	-1.032
ELOVL6	0.693
GPR180	0.582
UXT	-0.603000000000002
TUBA1A	-0.911
EFHD2	-0.708
PARP6	0.378
RHOT2	-0.869999999999999
CIRBP	-0.618
KLHL22	-0.736
UBR1	0.73
MASTL	0.741
CD74	-0.853999999999999
UCP2	-0.792000000000002
JOSD2	-1.453
GPR137	-0.85
ZNF778	0.414000000000001
FAAP20	-0.822
TNFAIP8L1	-0.403999999999999
XPO7	0.518000000000001
MMP24OS	-0.853999999999999
NOXA1	-1.73
TXNRD2	-0.758
CYHR1	-0.77
RIN1	-1.127
KATNAL1	0.510000000000001
ARRDC1	-0.738000000000001
ENKD1	-0.926
ABI3	-0.978
GCSH	0.628
RENBP	-0.807999999999998
PGAP6	-0.782
FAM122C	0.597
RNF167	-0.477
RPL11	-0.712
RPS23	-0.675000000000001
GNL3L	0.431000000000001
ZBTB47	-0.61
PLA2G7	-1.293
FAM72B	1.254
MGMT	-1.067
CACFD1	-0.978
SPTBN1	0.826000000000001
RPS14	-0.719999999999999
ENDOV	-0.872000000000001
ALKBH7	-1.298
TLCD4	1.027
FAU	-0.957000000000001
RP9	-0.398
CYCS	0.427
EIF3K	-0.677
TARS1	0.494
PPP1R12C	-0.793999999999999
CHMP6	-0.813000000000001
FAM110A	-0.758000000000001
SELENOO	-1.073
LFNG	-1.117
AUNIP	0.899
ZNF710	-0.583
PPP2R1B	0.443000000000001
FAM111A	0.597
METTL26	-1.09
ST7	0.374
AKAP8L	-0.356
ATP2C1	0.499000000000001
WASF1	1.089
CDKN1C	-1.612
SNRNP70	-0.426
RPS3A	-0.692
RABEP2	-1.263
EMC10	-0.687999999999999
IGHG3	3.063
E4F1	-0.942
PHETA1	-0.945
LENG1	-0.751
LTBP1	1.109
NRM	-0.621
EIF3F	-0.567
APEH	-0.547000000000001
HAGH	-0.806000000000001
CCS	-0.978
LRRC37A3	0.822
LONRF3	1.054
FKBP8	-1.252
RAB4B	-0.737
BORCS8	-0.672999999999998
SENP1	0.506
SLC7A7	-0.526999999999999
CDH13	-0.902
COL4A4	1.476
DCLRE1A	0.681
SH3BGRL3	-0.680000000000001
ASPSCR1	-1.106
NUBP2	-1.318
RPL26	-0.633999999999999
PDXDC1	0.513
SLC66A2	-1.068
TRPV3	1.389
RPL7	-0.607000000000001
AMPD2	-0.879
SSNA1	-1.139
ABHD17A	-1.164
ARFGEF2	0.876000000000001
CHMP2A	-0.655999999999999
ZNF688	-0.835
IRF2BP1	-0.62
CHD1L	0.498000000000001
ZNF467	-0.861000000000001
RDX	0.659
HADHA	-0.347
BCKDHA	-0.714
USP6NL	0.724
GAA	-0.940999999999999
CCDC71	-0.649000000000001
COASY	-0.562000000000001
RPS9	-0.9
FBRSL1	-0.725
GLI4	-1.07
RPL38	-0.763
ATP5F1D	-1.68
RPS16	-0.850999999999999
XPNPEP1	0.468
SLC22A18	-1.232
IZUMO4	-0.760000000000001
CCDC130	-0.605
NADSYN1	-0.508999999999999
TIGD5	-1.003
DAGLB	-0.529999999999999
ARHGEF10L	-1.143
REXO5	0.721
FAM20C	-1.078
TCEAL9	0.846
RPUSD1	-1.294
PUS7L	0.482
TEX264	-0.714
TARM1	1.801
FNDC10	-1.761
ANKRD36C	1.155
FCHO1	-0.765000000000001
EIF2AK3	0.889
COX4I1	-0.632000000000001
PRR14L	0.708
ZYX	-0.925000000000001
HAUS7	-0.944
CRYL1	-0.586
ZNF444	-0.811999999999999
C18orf21	-0.376999999999999
CTSZ	-0.447999999999999
CCDC12	-0.867999999999999
B3GNT8	-1.265
C7orf50	-1.371
POLR2E	-0.908000000000001
SCAND1	-1.139
TMEM191B	-1.927
IRF3	-0.776
NUDT16L1	-0.672000000000001
PIGQ	-1.119
ZNF511	-0.693
PLA2G15	-0.892
FUOM	-1.273
TACC3	-0.596
AGAP3	-0.911
HERC2	0.904999999999999
CABLES1	1.051
PQBP1	-0.67
UBXN6	-0.858000000000001
SATB2	0.975
RASSF7	-1.347
ALKBH4	-0.429
IQGAP3	1.754
BEND4	1.228
ALDH16A1	-1.024
SHF	-1.042
B3GALT6	-0.822
BORCS6	-0.857999999999999
RBM42	-0.907999999999999
FBL	-0.714
FLYWCH2	-1.111
FLJ44635	-0.521999999999999
GSDMD	-0.983000000000001
CASP3	0.405999999999999
GNB1L	-1.302
COA8	-0.542999999999999
CDKL1	0.548000000000001
DOK1	-0.683
HLA-DPB1	-0.971
ZBTB48	-0.620000000000001
SUN2	-0.494999999999999
PLD6	0.629
NDUFS7	-1.591
SPAG1	0.935
RPL32	-0.667
TELO2	-1.267
RPS27A	-0.600000000000001
TMEM86B	-1.027
POLH	0.338000000000001
SERF2	-0.798999999999999
SIVA1	-1.431
FKRP	-0.431
EDF1	-0.932
PHB2	-0.498000000000001
BCL7C	-1.201
NFIC	-0.507
HSF4	-0.746
STXBP2	-0.665000000000001
SASS6	0.733000000000001
SH3BP1	-0.721
CKAP2	0.621000000000001
TMEM250	-0.713999999999999
PDHX	0.399
EXOC3	-0.395
DCUN1D3	0.617999999999999
CTDSP1	-0.651
C19orf25	-1.075
INTS11	-0.66
ANKRD33B	0.896
MAP2K5	-0.412
PRAM1	-0.950000000000001
RPL35	-1.016
SARDH	-1.191
SLC37A1	0.461
TSPO	-1.307
NUCB2	0.634
THAP7	-1.078
MAP3K11	-0.794
MTHFD1L	0.648
GPLD1	0.655
STK10	-0.418000000000001
LAMTOR2	-0.84
TRMT61A	-1.086
INAFM1	-1.264
RETSAT	0.363999999999999
GPR162	-1.241
YWHAH	0.494999999999999
TCIRG1	-0.866999999999999
ANKIB1	0.661000000000001
LRCH4	-0.750999999999999
INTS1	-0.815
TSC22D4	-0.777000000000001
PPP1CA	-0.564
CD4	-0.853999999999999
WASHC1	-0.699999999999999
SF3B4	-0.333
NCOA3	0.718
CEACAM8	2.232
DNAJC13	0.734
ARSB	0.544
DNAJC4	-0.773000000000001
ERP29	-0.547000000000001
JAML	-0.795
REX1BD	-1.123
OXLD1	-0.803000000000001
IGFLR1	-0.975
NCR1	0.937
CCDC22	-0.859
C2orf81	-1.285
MMP14	-0.941
RNASEH1	0.4
RPH3A	1.989
CNOT6	0.506
RPL22	-0.593
PLAAT2	1.871
WBP1	-0.588000000000001
PCGF5	0.76
UHRF1BP1	0.614
TRADD	-0.540000000000001
NDUFS1	0.356
RANBP3	-0.443999999999999
FAM50A	-0.574
RIMKLB	0.901
CSNK2B	-0.427999999999999
TRPC6	0.774
DGCR6L	-1.134
TOR4A	-0.663
AGPAT2	-1.022
CCDC96	-0.656
PPP6R2	-0.494000000000002
PIP5K1C	-0.582000000000001
KIFAP3	0.568000000000001
F2R	0.769
PIF1	0.928
NIPA1	0.687
PRPF31	-0.677
DLG1	0.608000000000001
MDH2	-0.629
USF2	-0.473000000000001
MIIP	-0.872999999999999
EML3	-0.536999999999999
MPND	-0.978
SORD	-0.411999999999999
SAP25	-1.245
HSPA13	0.83
CD7	-1.541
MUTYH	-0.687
RPL3	-0.803000000000001
CEACAM6	1.792
MFSD12	-0.879
FRMD3	0.994000000000001
EFNB1	-0.739
INTS9	-0.309
MYL6	-0.668999999999999
C16orf87	0.546
DBT	0.451
RPL12	-0.744
ANKRD35	-1.391
AP5Z1	-0.688000000000001
PIP4K2A	0.269
GFM2	0.318
HLA-DPA1	-0.843
SIDT2	-0.635999999999999
PSMD11	0.220000000000001
CKS1B	0.58
RPS10	-0.775
GPSM1	-1.262
TTLL7	1.064
CRKL	0.575999999999999
BRICD5	-1.204
UBE3C	0.372
CCDC18	0.532
RHPN1	-1.201
MTDH	0.494999999999999
C18orf54	0.641
PFKL	-0.984
CASTOR1	-1.011
SMIM3	0.579000000000001
NDUFB7	-1.498
CCDC124	-1.12
TMEM150A	-0.807
KCNK6	-0.416
GABBR1	0.456000000000001
SF3A2	-0.972
NACA	-0.425000000000001
KLHDC3	-0.52
SLCO5A1	0.845
SPATA2L	-0.969
ATP6V0D1	-0.656000000000001
DERL3	1.865
LATS2	0.749000000000001
SIGIRR	-1.125
NSF	0.442
EIF4EBP1	-1.018
ZNF579	-1.123
EIF4EBP3	-0.831
STUB1	-0.909000000000001
B3GNTL1	-0.815
TAPBP	-0.561
XRCC1	-0.413
MARCO	-1.364
NFX1	0.389000000000001
IFI44L	2.439
DDRGK1	-0.564
BEND7	0.984999999999999
CDK2AP2	-0.983000000000001
MMP8	2.534
RACK1	-0.643000000000001
MARS1	0.293000000000001
SGF29	-0.813999999999999
FIS1	-0.765000000000001
TYROBP	-0.778
FOXP4	-0.747
PAXX	-1.134
FAM3A	-0.914
SPG7	-0.542
SPARC	0.841000000000001
TTYH3	-0.677000000000001
MAPKAPK3	-0.449999999999999
ZFPL1	-0.721000000000001
RPS27	-0.687999999999999
TBCD	-0.604000000000001
CSF1	0.769
DDR2	1.256
TFAP4	-0.858
SLC9A3R1	-0.637
RPS4X	-0.689
EXOSC5	-1.167
CEP152	0.765
NNMT	1.549
NELFE	-0.468999999999999
CCDC117	0.353
AATF	-0.312999999999999
REXO1	-0.604
MET	1.72
GTPBP6	-1.123
ERF	-0.744
NME3	-1.446
PRKCSH	-0.621
TMEM161A	-1.13
RAVER1	-0.613000000000001
TRAPPC2B	-0.814
BRMS1	-0.663
TBC1D20	0.304
GIMAP1	-0.573
SCP2	0.385999999999999
RPS3	-0.621
SH3D21	-0.618
ACSF3	-0.68
KLF2	-0.673999999999999
RPS17	-0.708
TBC1D22B	0.377
DGKQ	-0.958999999999999
NODAL	0.953
SCRN2	-0.9
TSPAN4	-1.234
TRAF7	-0.554
ACLY	0.32
PARL	-0.561
CLINT1	0.618
NR1H2	-0.74
DCAF10	0.539
DESI2	0.307
RIC1	0.738000000000001
TMEM52B	1.451
GALK1	-1.152
GALK2	0.42
BIRC6	0.767000000000001
TBL3	-1.043
SMG9	-0.701000000000001
VPS28	-0.803999999999998
G6PC3	-0.832000000000001
CLASRP	-0.435
WASHC5	0.314
INO80B	-0.468999999999999
LST1	-0.790000000000001
COMMD5	-0.595000000000001
RFNG	-0.853999999999999
C1orf159	-1.244
AIP	-0.675000000000001
HMOX2	-0.519
MREG	0.479
NUP205	0.636000000000001
AKT1	-0.494999999999999
GPSM3	-0.666
CDC37	-0.539
DECR2	-1.024
FBXL15	-1.082
MTRNR2L10	-0.616
PGAP3	-0.846
MIB2	-1.096
HNMT	-0.633000000000001
GALNT10	0.278
POLRMT	-0.987
NFKBIL1	-0.718999999999999
MTOR	0.440999999999999
UBA52	-0.58
FCER2	-1.196
ACAA1	-0.522
DGAT1	-0.718
TAF2	0.675
BMPR2	0.74
AMDHD2	-1.083
NCLN	-0.94
HDHD5	-0.725
SPG11	0.638000000000002
LRRC25	-0.613
RPS7	-0.544
TMEM64	0.45
PFKM	0.409
TTF1	0.401
GIMAP1-GIMAP5	-0.817
PWWP2B	-0.896
TSC2	-0.533999999999999
BTBD2	-0.877999999999999
RPL27	-0.594000000000001
ROGDI	-1.006
BAG2	0.486
PPM1F	-0.723000000000001
ARAF	-0.516999999999999
CHMP4B	-0.412000000000001
ARHGAP1	-0.381
PEX16	-0.896999999999999
NAV1	0.758
GSTP1	-1.033
STK11	-0.610999999999999
MICOS13	-1.15
MBD3	-1.357
PPP1R35	-0.793
CKAP5	0.568
TPRN	-1.2
ATP8A1	0.789000000000001
RPS8	-0.741999999999999
RPS24	-0.543999999999999
POLL	-0.657
