#NAME	low10-1.cel	low10-2.cel	high10-1.cel	high10-2.cel	low48-1.cel	low48-2.cel	high48-1.cel	high48-2.cel
1023_at	7.707297282	7.814655911	7.730263328	7.914271373	8.132771973	8.163708651	8.008803008	8.177973141
1024_at	8.470393726	8.674474698	8.176687004	8.197420884	8.801328951	8.786904877	7.974479571	8.196659112
1025_g_at	8.065307276	8.008627897	7.172242035	6.960241552	7.736089921	7.377041271	6.662185713	6.7245949
1026_s_at	8.553119044	8.900617975	8.836524989	8.95654882	8.910422539	9.237809073	8.741776601	9.115769473
1027_at	6.622866969	6.827710876	6.706467941	6.876677359	6.784780372	7.141261833	6.732809331	7.151596184
1028_at	6.430410893	6.72603083	7.041276771	6.609983218	6.598269144	6.744223144	6.718836	6.928659757
1029_s_at	5.477172023	5.62170744	5.378968688	5.686419737	5.738770868	6.722752686	5.713338202	6.793649751
103_at	6.428133335	6.666194903	6.768351688	6.597580157	6.572012806	6.928322342	6.604461191	6.700375764
1030_s_at	10.51235353	10.2053257	10.27055168	10.13365709	9.84442029	9.369866427	10.05487129	9.462600356
1031_at	5.677650671	5.552463339	5.690350105	5.685399525	5.342265287	5.522723422	5.51281943	5.479871377
1032_at	8.432694622	8.382067592	8.278558488	8.22884121	8.084432617	8.228961373	8.145625615	8.266076817
1033_g_at	7.032555264	7.202371571	7.230408218	7.463151996	7.515380693	7.888323265	7.472076637	7.653284857
1034_at	9.760735029	9.836140743	9.177038336	9.288894173	11.12150933	11.09997962	9.989241781	10.16231725
1035_g_at	9.527874499	9.542508815	8.955074449	9.002283545	10.59175974	10.3753641	9.480295231	9.71831905
1036_at	4.830290915	4.936906502	4.932132704	4.666825089	4.756221933	4.957935314	4.803038304	4.745701415
1037_at	5.662724852	5.472959036	5.358284604	5.161014585	5.113028517	5.324109861	5.064626701	5.198702736
1038_s_at	5.901607437	5.939606585	5.555385111	5.319171479	5.737606016	5.518462796	5.481397928	5.483772088
1039_s_at	6.554662441	6.330901887	6.562332966	6.317292167	5.891251938	5.59924744	6.275092789	5.868473163
104_at	6.278338589	6.640351894	6.346204652	6.783851029	6.489281287	6.773837764	6.422476743	6.607638538
1040_s_at	6.083591216	6.088750406	6.26582943	6.06764912	6.363695318	6.592523862	6.508724421	6.796018414
1041_at	6.09128258	6.055030006	6.13826352	5.711347941	6.231354686	6.37784053	5.994300912	6.573852503
1042_at	5.101684427	5.023567787	4.995483954	4.867034888	4.933315823	5.105556692	4.875822754	5.096675997
1043_s_at	5.125009552	5.279859341	5.171048424	5.164332948	5.270977674	5.375028258	5.122499356	5.350016312
1044_s_at	7.070884406	7.010305705	6.81473867	6.473785331	6.782775145	6.430926824	6.550427473	6.110312036
1045_s_at	7.546897777	7.425159887	7.361177686	7.44096797	7.446976495	6.967319954	6.550251037	7.124410626
1046_at	7.002424733	6.829166724	6.571223022	6.093217466	6.437145597	6.368144088	6.072760076	6.01378587
1047_s_at	7.613786634	7.737548573	7.65727833	7.926887128	8.052097935	8.467877726	7.898819698	8.218595496
1048_at	5.966907639	6.194431132	5.910475492	5.890035049	5.823587345	6.104325758	5.899667846	6.113263705
1049_g_at	7.965777479	8.187409106	8.106571224	8.281857555	8.209031692	8.14046278	8.204420248	8.33804808
105_at	5.406687275	5.264259836	5.32208341	5.249372392	5.61283813	5.867770813	5.457265986	5.517461073
1050_at	4.710872847	4.667296539	4.629110298	4.410433636	4.64890481	4.493316116	4.575030322	4.560610552
1051_g_at	5.86586553	5.964442368	5.941348893	6.017072345	5.791546939	5.786455603	5.632542724	5.666229226
1052_s_at	8.612015139	8.662713283	8.148017889	7.72957808	8.723804053	8.365763192	7.98838133	7.436568029
1053_at	7.507443714	7.705314732	9.013983723	8.881018364	7.462827355	7.113720524	8.410624604	8.021602065
1054_at	5.229868339	5.397206809	6.000675718	5.542477438	5.248218713	5.181713723	5.828542012	5.858685618
1055_g_at	5.308277003	5.542250805	7.730257784	7.180787897	5.716977958	5.417766538	8.125152467	6.762943687
1056_s_at	5.267739465	5.237133397	5.112614447	5.278731595	5.196388041	5.503460217	5.312615903	5.588605336
1057_at	11.55193469	11.50047771	10.9094033	10.81754821	11.81650685	11.51767956	11.49751725	11.10928427
1058_at	6.386659421	6.228105967	6.46657207	6.059319517	6.047637786	6.099127836	5.99053486	6.202433907
1059_at	4.846093993	4.904160347	4.941990406	4.851624544	5.014224166	4.858613472	4.712397007	4.914009694
106_at	5.791639479	5.835974882	5.725784344	5.665830925	5.986795001	5.999751443	5.699200317	6.055824812
1060_g_at	6.861098175	6.704401767	6.650059281	6.924016036	6.518798886	6.891375769	6.677463645	6.910220341
1061_at	7.68316131	7.653307243	7.467128635	7.77410829	7.539498644	7.447840805	7.405489513	7.791377656
1062_g_at	5.473495545	5.347483913	5.325247395	5.373388211	5.407707743	5.78862815	5.517760267	5.493893397
1063_s_at	8.585359828	8.462941428	8.399406513	8.434713538	8.187488551	8.521752203	8.309863549	8.227915684
1064_at	6.521782025	6.15974256	6.664437182	6.075673206	5.652617709	5.264576085	6.092192016	5.414173514
1065_at	5.929698255	5.665261376	5.807332409	5.775396944	5.505066761	5.529861318	5.643852218	5.785302723
1066_at	6.790852015	6.881368793	6.709866108	6.761864934	6.771196928	6.846559408	6.645196722	6.819226348
1067_at	5.418342844	5.545939623	5.497580849	5.868340148	5.421093644	5.70823992	5.195377043	5.560968197
1068_g_at	8.771160033	8.876110471	8.738459239	8.723423317	8.994244515	9.023981473	8.837040923	8.922920901
1069_at	5.180553935	4.943958135	5.004046201	5.19059535	4.977883698	4.993753622	4.896327725	4.97111702
107_at	6.623105463	6.639327794	6.458863241	6.640858878	6.658057536	6.582188514	6.563834204	6.86135497
1070_at	6.000713281	5.980001475	5.892123626	5.868670165	6.017860832	5.876220453	6.144115325	5.782477447
1071_at	8.321911264	8.460795431	8.270695436	8.301793624	8.492133808	8.321002053	8.30796475	8.41031816
1072_g_at	9.257281618	9.156745444	8.963329732	9.167748944	9.234364995	9.247249606	8.900396213	9.419234605
1073_at	9.890934278	9.677518011	9.988728601	9.69997757	9.632322423	9.259477365	10.06334214	9.526408473
1074_at	8.351963195	7.926189214	8.207922576	7.766612377	7.637374275	7.396045416	7.567425102	7.427205822
1075_f_at	4.947796406	4.875198711	4.926693986	4.796238521	5.187971665	4.932454941	4.957788075	4.929218145
1076_at	5.216480697	5.399137191	4.984869047	4.923779811	4.872851378	4.815503404	4.649667283	4.82738229
1077_at	5.06438323	4.713556157	4.910583557	4.802097211	4.761882896	5.070091717	4.815086037	5.013558235
1078_at	6.990169936	6.957150797	6.856676848	7.000881603	6.523952355	6.781376255	6.429164174	6.388143216
1079_g_at	8.594939557	8.569571801	8.390710215	8.542123027	8.350152896	7.916330974	8.142991668	7.805935221
108_g_at	8.96931161	9.019118818	8.869006826	8.94158945	8.945156126	8.959364681	8.859424866	9.085087938
1080_s_at	5.214043836	5.306904224	5.330109989	5.461090224	5.394305398	5.350312046	5.5161361	5.452131167
1081_at	10.40058172	10.35739971	10.21122838	10.30757595	10.17635171	10.00207516	10.35313639	9.819917543
1082_at	6.756793165	6.671383335	7.050053461	6.849050755	7.191727306	6.736162103	6.87205589	6.931756182
1083_s_at	7.610100865	7.822399881	7.666959561	7.715963298	8.369001891	8.227504637	7.868366665	7.969277625
1084_at	6.414542778	6.406852438	6.277701792	6.461940807	6.489292984	6.466148397	6.366244902	6.608729605
1085_s_at	8.618844565	8.557180741	8.546399039	8.568132919	8.541200105	8.445569663	8.413617736	8.245365383
1086_at	5.991659034	6.280077692	5.964692717	6.231881618	6.416275997	6.327386218	6.213555879	6.451842109
1087_at	8.358314594	8.290648768	7.149234343	7.26980343	8.860959296	8.896257864	7.521126864	7.113083394
1088_at	4.53297669	4.674389385	4.755996155	4.654146603	4.661832057	4.656665123	4.68690794	4.670593029
1089_i_at	6.627093093	6.690936181	6.504122639	6.682948438	6.328645183	6.376927383	6.268602569	6.445052247
109_at	8.661939934	8.708364554	8.929838953	8.96412668	8.302429383	8.253356983	9.057819978	8.522163589
1090_f_at	5.213932971	5.405831186	5.326859698	5.178819482	5.241415411	5.45617434	5.184908202	5.4121439
1091_at	9.904280555	9.916457658	9.852486865	9.908818662	9.95872597	9.888541173	10.07861564	9.983975493
1092_at	9.976329175	10.02178322	9.955591237	10.09014097	10.15967143	10.0359019	9.963077378	10.02502822
1093_at	4.892422201	4.922914249	4.978306142	5.004206699	4.854709793	4.705697007	4.760862573	5.073760683
1094_g_at	6.437867617	6.522974852	6.570645834	6.401655024	6.024610333	6.358225787	6.314415543	6.307641511
1095_s_at	4.521110656	4.560595102	4.443716256	4.558383275	4.546165817	4.450659846	4.692472065	4.668706586
1096_g_at	6.962739441	7.151345481	7.049507006	7.331553529	7.36901439	7.671182881	7.226708395	7.54988391
1097_s_at	6.466292622	6.541656481	6.180188599	6.291952762	6.176380027	6.263535105	6.067998038	6.180477022
1098_at	4.598019326	4.702192398	4.589817353	4.590442468	4.945370875	4.618201897	4.74026461	4.633649664
1099_s_at	5.539281669	5.664476826	5.637877545	5.610691487	5.597431858	5.648692987	5.473491397	5.776005194
110_at	8.733121958	8.744683471	8.710860081	8.691365106	8.786556373	8.898692297	8.795789204	8.905635465
1100_at	10.17639869	9.914694669	10.31529094	10.61369997	10.23515082	9.851337113	10.84929761	10.44465015
1101_at	5.702536016	5.718755791	5.736055943	5.900077394	6.012931011	6.485051559	5.972279463	6.323333679
1102_s_at	7.118834501	6.961710522	6.838405297	6.531896654	7.160196259	7.350298727	6.883721448	6.893971222
1103_at	6.545946045	6.507005117	6.595135861	6.393060427	6.352663053	6.754797517	6.436485207	6.730706755
1104_s_at	11.18387589	11.02682337	10.85345724	10.92742547	11.82873698	11.21079119	11.40514198	10.87869169
1105_s_at	8.826797228	8.835644314	8.734925993	8.667511254	8.708423345	8.608848809	8.501239019	8.788983382
1106_s_at	7.600797045	7.738825641	7.601277165	7.622805361	7.418859064	7.657348446	7.497355151	7.58144663
1107_s_at	13.55280591	13.70668996	13.38656571	13.18411118	13.70395194	13.54466665	12.91496714	12.42527458
1108_s_at	7.80068262	7.769755816	7.664076941	7.949222893	7.963537816	7.854496066	8.002846766	7.964970994
1109_s_at	8.5810788	8.671189431	8.450319351	8.502193107	8.661361414	8.579014374	8.336464621	8.383502259
111_at	8.790228809	8.839021242	8.592053556	8.564246464	8.852822822	8.874280505	8.549081322	8.657721975
1110_at	6.0282693	6.259787873	6.201889048	6.058552938	6.254530104	6.296155333	6.050396534	6.283083313
1111_at	5.82528391	5.879724147	5.708295708	5.847541395	5.697261955	5.800373577	5.757981269	6.014370766
1112_g_at	7.328844153	7.481104875	7.319069545	7.523738994	7.487336058	7.84768346	7.46221713	7.953344808
1113_at	5.184643469	5.038033152	5.030633481	5.194100793	5.267755246	5.227389403	5.250111102	5.309043193
1114_at	7.626417705	7.66709997	7.48571503	7.527472566	7.659271134	7.661884009	7.484274476	7.512783746
1115_at	5.205119294	5.266216319	5.178945622	4.894277659	5.31538439	5.010045833	4.996773358	4.811312407
1116_at	8.00817895	8.000449401	7.952616835	7.740922382	7.933461667	7.835637389	7.867772064	7.477489442
1117_at	7.404985453	7.340806822	7.343723159	7.647607627	7.773360722	7.565062479	7.547837272	7.511371736
1118_at	6.249477845	6.27621914	6.089550586	6.149664695	6.299911517	6.36877466	6.359959529	6.324423489
1119_at	8.505232174	8.371514673	8.932110578	8.90437016	8.094526542	7.791132428	8.765923305	8.24188508
112_g_at	5.842315317	5.917529771	5.66746356	5.660868988	5.691765704	5.827555202	5.703279296	5.651604113
1120_at	9.767161566	9.700040242	9.547721133	9.385500377	9.351280768	9.213196569	9.339675788	9.225158912
1121_g_at	8.77243999	8.822220635	8.552295478	8.578666613	8.799744608	8.85263156	8.523497523	8.672458863
1122_f_at	9.289136943	9.385931944	9.3107496	9.464965897	9.065533993	9.173306358	9.116420132	9.277927892
1123_at	7.856048324	7.860669505	7.661995906	7.704481004	7.625991725	7.766658756	7.601308899	7.814383497
1124_at	8.819600242	8.79056317	8.733143043	8.637402692	8.975515421	8.520933275	8.391633949	8.532904422
1125_s_at	6.190724787	6.154517156	6.919367364	6.97800922	6.188254465	6.276209407	6.323164031	6.311348903
1126_s_at	6.345293322	6.158995907	8.038417676	8.031521646	6.322975401	6.289920785	7.036687442	6.815534607
1127_at	9.509133216	9.479712983	9.416069291	9.408498379	9.756407421	9.563642859	9.614759132	9.641352431
1128_s_at	7.09427321	7.254395517	7.115945433	7.120836066	7.011580387	7.891716782	7.011821415	7.37543982
1129_at	6.191378398	6.46142202	6.475374981	6.664050892	6.613211589	6.817446007	6.727736037	7.203279791
113_i_at	6.607460638	6.429771895	6.988696922	6.804288751	6.227668818	6.097108431	6.441257957	6.187994747
1130_at	8.863631611	8.796710869	8.803089	8.702122303	8.721484204	8.463842437	8.812107324	8.565349161
1131_at	10.44007253	10.26151559	10.28598903	10.2843724	10.44560658	10.23809759	10.82066749	10.29770151
1132_s_at	8.271976561	8.371164682	8.032392718	8.182504767	8.789187023	8.736832924	8.084257477	8.500855869
1133_at	6.585692088	6.479490355	6.513345018	6.587153416	6.858818726	6.80566026	6.664609038	6.775826485
1134_at	8.945401118	8.894785405	8.871333542	8.879431578	9.363973459	9.158990234	9.424113809	9.222850545
1135_at	6.169868453	6.259425292	6.264438786	6.21757962	6.487389473	6.423483511	6.364311448	6.326516808
1136_at	8.076559703	8.14617597	8.752608136	8.761179086	8.282461165	7.972880819	9.557945095	8.819025552
1137_at	6.247532494	6.128253805	6.096087567	5.688080274	6.081664987	6.033218912	6.017675875	5.747081937
1138_at	9.347829256	9.34018087	9.742051291	9.566694719	9.042868498	9.038705392	9.350262906	9.388376271
1139_at	7.321428879	7.470596087	7.594528334	7.595004231	7.653130436	7.625022808	5.817820115	7.754110669
114_r_at	6.752378311	6.996440311	6.819264778	7.300634249	7.890620296	8.664078967	7.543897325	8.82827829
1140_at	6.217907276	6.246774696	6.758111602	6.44018118	6.429443493	6.357549799	7.664442215	6.736395402
1141_at	6.414573097	6.456190836	6.313662921	6.345891231	6.588194221	6.826013603	6.519552825	6.875118769
1142_at	7.461140274	7.760287054	7.639870813	7.500064554	7.690014109	7.211146664	7.562709839	7.368599154
1143_s_at	7.020785078	6.790221664	6.716994789	6.796486794	6.747529079	7.051264449	6.510794463	6.649110629
1144_at	5.664688503	5.657590489	5.597170683	5.478646814	5.399794292	5.429266008	5.483564156	5.522361609
1145_g_at	7.478242329	7.294096137	6.961117636	7.399034098	7.422758909	7.964306262	7.009354663	7.696382438
1146_at	6.459533626	6.60694883	6.49418864	6.482465939	6.67895425	6.614610347	6.270060077	6.542710905
1147_at	4.384985965	4.808472113	4.80398729	4.646415765	4.44093402	4.95514141	4.65123662	4.832086452
1148_s_at	5.473024539	5.455870351	5.310022147	5.419198428	5.250960317	5.229870218	5.174152904	5.265632773
1149_at	5.913086829	6.016719864	5.917720902	6.12351547	6.319303268	6.547526312	6.247298254	6.521227553
115_at	8.722840783	8.668304721	9.225390265	9.542205738	9.210440279	9.157222899	8.67119222	9.487241157
1150_at	5.498176916	5.723246544	5.658636212	5.581355934	5.461638762	5.454932752	5.731569785	5.617970786
1151_at	10.89291431	10.78997314	10.85847508	10.82633255	10.55116939	10.20301721	10.53139466	10.31258934
1152_i_at	5.183935687	5.39060547	5.11480379	6.929242709	4.977933592	6.930743742	5.625334112	7.128988464
1153_f_at	9.801282598	9.921274241	9.737189111	9.749568233	9.773606423	10.02405746	9.83996578	10.07453122
1154_at	9.092247749	9.058276644	9.687039408	9.633672524	8.774727767	8.743521401	9.584102485	9.199457279
1155_at	7.660475735	7.73083141	7.620943969	7.585311054	7.727926957	7.501387552	7.726855154	7.532681627
1156_at	7.149759397	7.388899778	7.156862639	7.376539997	7.630963555	7.634473017	7.056799767	7.95942655
1157_s_at	5.330659201	5.559738999	5.670561362	5.357460244	5.351915252	5.246184142	5.517882639	5.524646612
1158_s_at	10.11227688	9.98352686	10.05735475	10.37066965	10.05467623	9.634592051	11.03965133	11.21290363
1159_at	4.629963435	4.708841323	4.566158998	4.725699202	4.690573336	4.519176096	4.415112543	4.636730082
116_at	5.737637843	6.089804549	5.981398456	6.183673444	5.438984595	5.589247531	5.4874229	5.863637758
1160_at	10.79138578	10.7574843	11.16815269	11.11544151	10.46294467	10.2440277	11.16035709	10.91102674
1161_at	12.66783028	12.57931269	12.96344142	13.04504021	12.91249917	12.75293162	13.44756462	13.28494612
1162_g_at	8.536611181	8.441872004	8.396606462	8.524591865	8.702604871	8.440998011	9.32945157	8.940146894
1163_at	6.660581425	6.450130066	6.727867631	6.360845585	6.158457325	6.327414341	5.806836087	6.34068641
1164_at	6.038260813	6.123203263	5.790907229	5.841050508	5.94243186	5.92583909	5.537811945	5.897870517
1165_at	4.694699883	4.823360843	4.66972693	4.514121236	4.75455727	4.68678533	4.716691215	4.434239142
1166_at	10.46705907	10.43361896	10.75078505	10.72381531	10.29173	10.08901937	10.95005356	10.3710003
1167_s_at	9.178904913	9.456310178	9.214573062	9.208117374	9.505748279	9.731926464	9.235567972	9.362112163
1168_at	5.861176782	5.941522592	5.851579398	5.968628144	5.983759318	5.935805943	5.958010711	5.880514897
1169_at	6.787779262	7.08923485	6.753190167	7.327669911	6.984723167	7.033724982	6.92420865	7.079673359
117_at	6.940412394	6.819932397	6.789708981	7.041181279	7.537660258	7.46550247	6.886762736	7.254911582
1170_at	6.159156292	6.249632837	6.225018241	6.311018611	6.303555181	6.183158794	6.315067716	6.409945137
1171_s_at	7.497642939	7.281122887	7.284395289	7.232310058	7.625465797	7.637657499	7.620821311	7.54853928
1172_at	6.910771061	7.332441612	6.979994035	6.958570881	7.311048883	7.608105471	7.143742922	7.542258604
1173_g_at	9.039339085	9.102146441	8.856889841	8.530897257	10.34529761	9.777608526	9.193616512	8.70031931
1174_at	5.78295291	5.913418516	5.818923814	5.978056643	5.877638744	5.981025007	5.892759914	5.61632651
1175_s_at	5.909707563	5.891830177	5.951576853	5.885653995	5.976126745	5.923765413	5.922847416	5.916026087
1176_at	6.053896897	6.160595347	6.242512668	6.121749332	6.274600091	6.208449107	6.177191881	6.204388984
1177_at	7.616001967	7.660141792	7.553390179	7.177499924	7.581974704	7.484431229	7.229298813	7.261430123
1178_at	4.937006079	5.019616549	6.317796058	6.014078649	4.782562838	4.875259187	5.728073997	5.557549436
1179_at	11.6723122	11.65993971	12.48649354	12.4786075	11.24225082	10.87582502	12.24197388	11.64661382
118_at	6.601571145	6.697817489	6.661748325	6.585517844	6.787677755	6.83925529	6.7490419	6.645018944
1180_g_at	12.43514977	12.45084873	13.13044806	13.12213432	12.14982836	11.5705958	12.85195576	12.50069941
1181_at	8.176005677	8.217209034	8.258458052	8.389053128	8.569372273	8.738539574	8.942717345	8.757660327
1182_at	4.725474075	4.81683667	4.937952673	4.811215507	4.823404173	4.786709334	4.8428195	4.937943992
1183_at	5.488698821	5.705195509	5.407262266	5.892591569	5.628905277	5.635290482	5.633875483	6.087673586
1184_at	10.3227968	10.25344912	10.4895641	10.36090259	10.43273236	10.1147775	10.86565094	10.41150646
1185_at	7.924884665	8.02848992	8.009775903	8.134264821	7.903361482	8.036626398	8.031675019	8.01609241
1186_at	5.038839389	5.050179188	4.93985242	4.993457701	5.401532455	5.139252913	5.197346198	5.38052498
1187_at	8.192555132	8.280465992	8.163043302	8.292742652	8.152359717	8.325496934	8.404668822	8.394734946
1188_g_at	7.169269298	7.18982329	7.241881165	7.244818259	7.043852782	7.473182548	7.293949753	7.860014555
1189_at	8.209994016	8.101178942	8.055504984	8.436116206	7.973468646	7.965487344	7.853441688	7.94283832
1190_at	4.755342627	4.969887403	4.892919198	5.148720417	5.035641787	5.272268494	4.677043245	4.875971551
1191_s_at	9.126640204	9.168385568	9.565245482	9.291000501	9.401043764	9.000736487	9.867296522	9.409159882
1192_at	8.2677283	8.072924111	8.487193537	8.333200005	7.973926828	6.958213977	8.339290294	7.601478958
1193_at	7.508510803	7.774522318	7.755693346	7.817416175	8.017997964	7.877806794	7.969553982	7.922796536
1194_g_at	6.152872196	6.271767852	6.391836145	6.266732336	6.63884225	6.474819256	6.307100232	6.559976275
1195_s_at	5.209146868	5.092169023	5.441336051	5.350012655	5.213658897	5.614618962	5.52913481	5.400059183
1196_at	9.746419535	9.87188285	9.807166393	9.919872622	9.774033099	9.264952204	9.811651591	9.746753141
1197_at	9.022706377	8.798213092	9.062428792	8.929800833	7.76870014	7.47477414	6.463034161	6.365722997
1198_at	4.77992646	4.668906543	4.654630254	4.468582493	4.577751427	4.806443505	4.677575257	4.668588042
1199_at	11.93357058	11.91151675	12.16829788	12.11498634	11.77044524	11.28937632	12.4408723	11.84304457
120_at	5.29902191	5.407786536	5.44018387	5.236344739	5.557741734	5.324775976	5.317438711	5.179832754
1200_at	6.520670294	6.761888992	6.701188348	6.840567177	6.639090344	6.963502028	6.914785828	7.222865775
1201_at	5.675533397	5.790996017	5.579206097	5.656774136	5.533166344	5.563203967	5.451179193	5.655974687
1202_g_at	6.505905547	6.617517582	6.478991313	6.247579342	6.362504142	6.15673372	6.127081314	6.278734147
1203_at	5.423679623	5.40497623	5.385305573	5.469026292	5.367997816	5.394103141	5.600899125	5.845871423
1204_at	5.337570396	5.603316157	5.421782899	5.434357351	5.840325175	5.894845201	5.454266735	5.816100716
1205_at	5.349138613	5.561175302	5.530733553	5.647663755	5.490420989	5.12537944	5.501039522	5.595541237
1206_at	8.75497175	8.844281097	8.653677484	8.504146859	8.556612944	8.49828482	8.602858566	8.559425785
1207_at	5.80553432	5.929591699	5.744153164	5.521578595	5.922981478	5.733118783	5.712891247	5.813382661
1208_at	8.271127307	8.175547957	8.195207296	8.367326037	8.206832181	8.598360942	8.120599714	8.617214547
1209_at	6.143914551	6.333781179	6.165712192	5.904266539	5.781404736	6.103405561	5.917830119	6.000228931
121_at	9.604368796	9.671732682	9.620272196	9.580363817	9.698204149	9.724768888	9.587008942	9.767100452
1210_s_at	8.313796053	8.454148607	8.205983119	8.341861094	8.506901799	8.537421499	8.408848647	8.654988926
1211_s_at	7.242682822	7.360323232	7.063163261	6.668508991	6.198492983	6.165358554	6.671387732	6.201743402
1212_at	9.902969155	10.03837278	9.902967219	9.869500123	9.730383291	9.621425034	9.807734102	9.628281979
1213_at	6.529330264	6.368777	6.21293772	5.802597979	5.690817008	5.49835564	5.807258224	5.508770895
1214_s_at	4.792867103	4.843259964	4.826859479	4.979163473	4.976512094	5.069751984	4.972079468	5.111661915
1217_g_at	5.354328249	5.376136264	5.27510084	5.872148811	5.158358849	5.752867939	5.545551865	5.699833823
1218_at	9.03039303	8.992841106	9.210727081	9.145547472	9.462570777	9.214918618	9.340659348	9.480711662
1219_at	7.789199803	7.68069912	7.621431	7.510298807	7.648644951	7.61615853	7.467154479	7.259012973
122_at	6.554707017	6.767976817	6.997613965	6.879143266	6.721703328	6.863426944	6.721613555	6.979287792
1220_g_at	8.100243021	8.012897708	7.744230021	7.860193422	8.349086151	8.403150837	7.616676382	8.033956728
1221_at	7.900538051	8.089284137	7.543236806	7.845956508	7.900933551	8.092094016	7.28915941	7.76047712
1222_at	5.414984612	5.266025212	5.188459237	5.204642804	5.336256697	5.272820767	5.064697335	5.03808954
1223_at	7.939047437	7.886435856	7.662559701	7.894346193	7.928961566	8.008400389	7.837776944	8.176802532
1224_at	8.971379507	8.731318256	8.686488056	8.659579502	8.646394189	8.50239532	8.731075011	8.654951424
1225_g_at	9.524662984	9.457605321	9.374482789	9.319558428	9.274593652	9.339045558	9.550365566	9.115949346
1226_at	5.660812206	5.526848555	5.468479556	5.914176618	4.765304035	5.176632293	5.183967055	5.045388699
1227_g_at	6.289309516	6.275589443	6.027627786	6.43962778	5.954305669	6.001476663	5.928183138	6.136475181
1228_s_at	7.867547112	7.877713624	7.718125602	7.587790755	7.073907795	7.303388695	7.065607169	7.229619068
1229_at	6.807556833	6.834646242	6.990953556	6.575522635	7.053864796	7.006042353	6.934643784	6.727289354
123_at	5.366212082	5.289484485	5.354638157	5.479023868	5.452366458	5.599900804	5.196139419	5.443416476
1230_g_at	7.859279626	7.866079072	7.882201859	7.690612133	8.136439	8.075101809	8.123916392	7.82374374
1231_at	5.462948322	5.33799381	5.03218613	4.827131242	5.088951182	4.583464131	4.712279522	4.711453975
1232_s_at	5.000169004	5.374661269	4.943376941	4.827683395	5.055528347	4.939056045	4.928848949	4.863595211
1233_s_at	9.64579364	9.791880871	9.666370307	9.775712635	9.577773911	9.825207571	9.714889996	9.789698899
1234_at	5.680978214	6.041151753	5.784084556	5.734382584	5.772510605	5.822371711	5.858343616	5.669602904
1235_at	12.90695512	12.73367363	12.68562133	12.88584499	12.75339073	12.50378805	12.67741639	12.62102295
1236_s_at	6.408728618	6.362831759	6.28529185	6.364080858	6.329909413	6.386429383	6.203578292	6.27342579
1237_at	10.23187484	10.09942337	10.41737719	10.44532493	10.70826721	10.33080548	10.89808324	10.47658714
