hmdb,name,conc,biotype,pubmed,references,notes,conc_unit
HMDB0000001,1-Methylhistidine,0 - 33.624 - 69.984,urine,11052553,,Female,umol/mmol creatinine
HMDB0000001,1-Methylhistidine,0 - 28.0954 - 59.9214,urine,11052553,,Male,umol/mmol creatinine
HMDB0000001,1-Methylhistidine,0 - 2.34 - 7.4164,urine,11052553,,Female,umol/mmol creatinine
HMDB0000001,1-Methylhistidine,0 - 1.334 - 4.093,urine,11052553,,Male,umol/mmol creatinine
HMDB0000002,"1,3-Diaminopropane",0.18 - 2.55 - 5.85,urine,9464484,,Both,umol/mmol creatinine
HMDB0000002,"1,3-Diaminopropane",0.01 - 0.04 - 0.07,blood,17668437,,Female,uM
HMDB0000002,"1,3-Diaminopropane",0.02 - 0.16 - 0.69,urine,3757213,,Both,umol/mmol creatinine
HMDB0000005,2-Ketobutyric acid,0.05 - 0.39 - 2.2,urine,9869358,,Male,umol/mmol creatinine
HMDB0000005,2-Ketobutyric acid,0.04 - 0.13 - 0.51,urine,9869358,,Female,umol/mmol creatinine
HMDB0000005,2-Ketobutyric acid,0 - 3.33 - 8.33,blood,3918815,,Both,uM
HMDB0000005,2-Ketobutyric acid,3.4 - 9.4 - 15.4,blood,9869358,,Both,uM
HMDB0000005,2-Ketobutyric acid,3.4 - 4.8 - 6.2, csf,6704500,,Both,uM
HMDB0000005,2-Ketobutyric acid,6.0 - 8.6 - 11.2,blood,6704500,,Both,uM
HMDB0000005,2-Ketobutyric acid,1.1 - 2.6 - 4.1,urine,,"Shaykhutdinov RA, MacInnis GD, Dowlatabadi R, Weljie AM, Vogel HJ.  Quantitative analysis of metabolite concentrations in human urine samples using 13C{1H} NMR spectroscopy.  Metabolomics.  2009",Male,umol/mmol creatinine
HMDB0000005,2-Ketobutyric acid,0.7 - 2.9 - 5.4,urine,24023812,,Both,umol/mmol creatinine
HMDB0000005,2-Ketobutyric acid,0 - 0.0412 - 0.2552,saliva,,Sugimoto et al. (2013) Physiological and environmental parameters associated with mass spectrometry-based salivary metabolomic profiles.,Male,uM
HMDB0000005,2-Ketobutyric acid,0 - 2.62 - 6.75,saliva,,Sugimoto et al. (2013) Physiological and environmental parameters associated with mass spectrometry-based salivary metabolomic profiles.,Not Specified,uM
HMDB0000005,2-Ketobutyric acid,0 - 4.06 - 12.45,saliva,,Sugimoto et al. (2013) Physiological and environmental parameters associated with mass spectrometry-based salivary metabolomic profiles.,Female,uM
HMDB0000005,2-Ketobutyric acid,0 - 4.12 - 8.53,saliva,,Sugimoto et al. (2013) Physiological and environmental parameters associated with mass spectrometry-based salivary metabolomic profiles.,Not Specified,uM
HMDB0000005,2-Ketobutyric acid,2.85 - 9.476 - 16.102,urine,,"Mordechai, Hien, and David S. Wishart",Not Specified,umol/mmol creatinine
HMDB0000008,2-Hydroxybutyric acid,0 - 2.445 - 4.89,urine,168632,,Both,umol/mmol creatinine
HMDB0000008,2-Hydroxybutyric acid,16.0 - 37.0 - 58.0, csf,8376520,,Both,uM
HMDB0000008,2-Hydroxybutyric acid,11.0 - 35.0 - 59.0, csf,8412012,,Both,uM
HMDB0000008,2-Hydroxybutyric acid,8.0 - 54.0 - 80.0,blood,8412012,,Both,uM
HMDB0000008,2-Hydroxybutyric acid,16.0 - 40.0 - 64.0, csf,18502700,,Both,uM
HMDB0000008,2-Hydroxybutyric acid,0 - 5.0 - 10.0,urine,,"Geigy Scientific Tables, 8th Rev edition, pp. 130. Edited by C. Lentner, West Cadwell, N.J.: Medical education Div., Ciba-Geigy Corp. Basel, Switzerland c1981-1992.",Both,umol/mmol creatinine
HMDB0000008,2-Hydroxybutyric acid,1.2 - 2.8 - 6.9,urine,24023812,,Both,umol/mmol creatinine
HMDB0000008,2-Hydroxybutyric acid,1.22 - 10.42 - 19.62,saliva,23857558,,Female,uM
HMDB0000008,2-Hydroxybutyric acid,0 - 3.29 - 6.819,urine,,"Mordechai, Hien, and David S. Wishart",Not Specified,umol/mmol creatinine
HMDB0000010,2-Methoxyestrone,0.004 - 0.005 - 0.006,urine,9812172,,Both,umol/mmol creatinine
HMDB0000011,(R)-3-Hydroxybutyric acid,207.0 - 286.0 - 365.0, csf,15627241,,Both,uM
HMDB0000011,(R)-3-Hydroxybutyric acid,0 - 48.0 - 200.0,urine,6321058,,Both,umol/mmol creatinine
HMDB0000011,(R)-3-Hydroxybutyric acid,16.0 - 36.0 - 56.0,blood,415828,,Both,uM
HMDB0000011,(R)-3-Hydroxybutyric acid,33.0 - 86.0 - 139.0,blood,1220702,,Both,uM
HMDB0000011,(R)-3-Hydroxybutyric acid,7.0 - 38.0 - 69.0,blood,5032673,,Both,uM
HMDB0000011,(R)-3-Hydroxybutyric acid,1.3 - 3.6 - 6.4,urine,24023812,,Both,umol/mmol creatinine
HMDB0000012,Deoxyuridine,0.049 - 0.052 - 0.056,blood,15866500,,Both,uM
HMDB0000012,Deoxyuridine,0.1 - 0.2 - 0.3,blood,6656991,,Both,uM
HMDB0000012,Deoxyuridine,0 - 0.6 - 1.2,blood,7877593,,Both,uM
HMDB0000012,Deoxyuridine,0 - 1.0 - 2.0,urine,16613999,,Both,umol/mmol creatinine
HMDB0000014,Deoxycytidine,0.38 - 0.65 - 0.92,urine,15116424,,Both,umol/mmol creatinine
HMDB0000014,Deoxycytidine,0 - 0.2 - 0.5,blood,3243806,,Both,uM
HMDB0000015,Cortexolone,0.0091 - 0.02 - 0.032,urine,6296182,,Female,umol/mmol creatinine
HMDB0000015,Cortexolone,0.0035 - 0.0039 - 0.0043,blood,8890720,,Both,uM
HMDB0000016,Deoxycorticosterone,0.034 - 0.073 - 0.11,blood,12119960,,Female,uM
HMDB0000016,Deoxycorticosterone,8.594 - 10.591 - 12.588,amniotic fluid,7462398,,Female,uM
HMDB0000017,4-Pyridoxic acid,0.0021 - 0.0071 - 0.0121,blood,11068702,,Female,uM
HMDB0000017,4-Pyridoxic acid,0.00305 - 0.0097 - 0.01635,blood,11068702,,Male,uM
HMDB0000017,4-Pyridoxic acid,0.033 - 0.04 - 0.047,blood,,"Geigy Scientific Tables, 8th Rev edition, pp. 165-177. Edited by C. Lentner, West Cadwell, N.J.: Medical education Div., Ciba-Geigy Corp., Basel, Switzerland c1981-1992.",Both,uM
HMDB0000017,4-Pyridoxic acid,0.0062 - 0.027 - 3.14,blood,15450810,,Both,uM
HMDB0000017,4-Pyridoxic acid,0 - 2.99 - 8.24,urine,2026685,,Both,umol/mmol creatinine
HMDB0000017,4-Pyridoxic acid,0.4 - 3.1 - 7.5,urine,24023812,,Both,umol/mmol creatinine
HMDB0000017,4-Pyridoxic acid,0.33 - 0.78 - 1.23,urine,6695847,,Both,umol/mmol creatinine
HMDB0000017,4-Pyridoxic acid,3.102 - 5.975 - 8.848,urine,,"Mordechai, Hien, and David S. Wishart",Not Specified,umol/mmol creatinine
HMDB0000017,4-Pyridoxic acid,0.0957 - 0.157 - 0.2183,urine,20576202,,Both,umol/mmol creatinine
HMDB0000017,4-Pyridoxic acid,0.1577 - 0.245 - 0.3323,urine,20502474,,Both,umol/mmol creatinine
HMDB0000017,4-Pyridoxic acid,0.234 - 0.407 - 0.58,urine,17349090,,Female,umol/mmol creatinine
HMDB0000017,4-Pyridoxic acid,0.233 - 0.42 - 0.607,urine,17349090,,Male,umol/mmol creatinine
HMDB0000019,Alpha-ketoisovaleric acid,0 - 0.13 - 0.54,urine,9869358,,Male,umol/mmol creatinine
HMDB0000019,Alpha-ketoisovaleric acid,0.01 - 0.07 - 0.45,urine,5096137,,Female,umol/mmol creatinine
HMDB0000019,Alpha-ketoisovaleric acid,9.3 - 11.0 - 12.7,blood,,"Geigy Scientific Tables, 8th Rev edition, pp. 165-177. Edited by C. Lentner, West Cadwell, N.J.: Medical education Div., Ciba-Geigy Corp., Basel, Switzerland c1981-1992.",Both,uM
HMDB0000019,Alpha-ketoisovaleric acid,1.4 - 8.2 - 15.0, csf,8412012,,Both,uM
HMDB0000019,Alpha-ketoisovaleric acid,0 - 14.0 - 28.0,blood,8412012,,Both,uM
HMDB0000019,Alpha-ketoisovaleric acid,3.0 - 6.0 - 9.0, csf,18502700,,Both,uM
HMDB0000019,Alpha-ketoisovaleric acid,0 - 0.16 - 0.64,urine,2026685,,Both,umol/mmol creatinine
HMDB0000019,Alpha-ketoisovaleric acid,0.01 - 0.07 - 0.45,urine,9869358,,Female,umol/mmol creatinine
HMDB0000019,Alpha-ketoisovaleric acid,0.2 - 0.5 - 1.1,urine,24023812,,Both,umol/mmol creatinine
HMDB0000019,Alpha-ketoisovaleric acid,0 - 0.345 - 1.203,saliva,,Sugimoto et al. (2013) Physiological and environmental parameters associated with mass spectrometry-based salivary metabolomic profiles.,Male,uM
HMDB0000019,Alpha-ketoisovaleric acid,0.052 - 0.434 - 0.816,saliva,,Sugimoto et al. (2013) Physiological and environmental parameters associated with mass spectrometry-based salivary metabolomic profiles.,Female,uM
HMDB0000019,Alpha-ketoisovaleric acid,0.257 - 0.656 - 1.055,saliva,,Sugimoto et al. (2013) Physiological and environmental parameters associated with mass spectrometry-based salivary metabolomic profiles.,Female,uM
HMDB0000019,Alpha-ketoisovaleric acid,0.31 - 0.679 - 1.048,saliva,,Sugimoto et al. (2013) Physiological and environmental parameters associated with mass spectrometry-based salivary metabolomic profiles.,Female,uM
HMDB0000019,Alpha-ketoisovaleric acid,0.465 - 0.752 - 1.039,saliva,,Sugimoto et al. (2013) Physiological and environmental parameters associated with mass spectrometry-based salivary metabolomic profiles.,Not Specified,uM
HMDB0000019,Alpha-ketoisovaleric acid,0.624 - 1.06 - 1.496,saliva,,Sugimoto et al. (2013) Physiological and environmental parameters associated with mass spectrometry-based salivary metabolomic profiles.,Not Specified,uM
HMDB0000020,p-Hydroxyphenylacetic acid,2.0 - 7.0 - 10.0,saliva,11997029,,Both,uM
HMDB0000020,p-Hydroxyphenylacetic acid,8.6 - 24.2 - 73.2,urine,8087979,,Both,umol/mmol creatinine
HMDB0000020,p-Hydroxyphenylacetic acid,8.4 - 36.7 - 142.0,urine,8087979,,Both,umol/mmol creatinine
HMDB0000020,p-Hydroxyphenylacetic acid,9.7 - 31.4 - 187.4,urine,8087979,,Both,umol/mmol creatinine
HMDB0000020,p-Hydroxyphenylacetic acid,3.2 - 15.3 - 180.2,urine,8087979,,Both,umol/mmol creatinine
HMDB0000020,p-Hydroxyphenylacetic acid,0.043 - 0.05 - 0.057, csf,7126379,,Not Specified,uM
HMDB0000020,p-Hydroxyphenylacetic acid,0.07 - 0.23 - 0.39,blood,,"Geigy Scientific Tables, 8th Rev edition, pp. 165-177. Edited by C. Lentner, West Cadwell, N.J.: Medical education Div., Ciba-Geigy Corp., Basel, Switzerland c1981-1992.",Both,uM
HMDB0000020,p-Hydroxyphenylacetic acid,2.8 - 7.0 - 11.0,urine,4903899,,Both,umol/mmol creatinine
HMDB0000020,p-Hydroxyphenylacetic acid,575.2 - 917.0 - 1258.8,urine,17684421,,Both,umol/mmol creatinine
HMDB0000020,p-Hydroxyphenylacetic acid,3.5 - 11.0 - 22.0,urine,2702744,,Both,umol/mmol creatinine
HMDB0000020,p-Hydroxyphenylacetic acid,3.0 - 7.4 - 11.8,urine,15992788,,Both,umol/mmol creatinine
HMDB0000020,p-Hydroxyphenylacetic acid,2.4 - 6.0 - 9.7,urine,24023812,,Both,umol/mmol creatinine
HMDB0000020,p-Hydroxyphenylacetic acid,1.4 - 5.5 - 14.6,urine,24023812,,Both,umol/mmol creatinine
HMDB0000020,p-Hydroxyphenylacetic acid,10.596 - 12.024 - 13.452,urine,19812218,,Male,umol/mmol creatinine
HMDB0000020,p-Hydroxyphenylacetic acid,5.828 - 6.346 - 6.864,blood,19812218,,Male,uM
HMDB0000020,p-Hydroxyphenylacetic acid,6.14 - 6.695 - 7.25,blood,19812218,,Male,uM
HMDB0000020,p-Hydroxyphenylacetic acid,5.801 - 6.387 - 6.973,blood,19812218,,Male,uM
HMDB0000020,p-Hydroxyphenylacetic acid,6.911 - 7.911 - 8.911,blood,19812218,,Male,uM
HMDB0000020,p-Hydroxyphenylacetic acid,6.068 - 6.5 - 6.932,blood,19812218,,Male,uM
HMDB0000020,p-Hydroxyphenylacetic acid,5.969 - 6.661 - 7.353,blood,19812218,,Male,uM
HMDB0000020,p-Hydroxyphenylacetic acid,5.182 - 5.791 - 6.4,blood,19812218,,Male,uM
HMDB0000020,p-Hydroxyphenylacetic acid,6.493 - 42.412 - 78.331,blood,19812218,,Male,uM
HMDB0000020,p-Hydroxyphenylacetic acid,10.52 - 25.11 - 39.7,saliva,,"Zerihun T. Dame, Farid Aziat, Rupasri Mandal, Ram Krishnamurthy, Souhaila Bouatra, Shima Borzouie, An Chi Guo, Tanvir Sajed, Lu Deng, Hong Lin, Philip Liu, Edison Dong, David S. Wishart """"The human saliva metabolome"""" Metabolomics (2015) DOI 10.1007/s11306-015-0840-5",Both,uM
HMDB0000020,p-Hydroxyphenylacetic acid,0 - 2.7 - 7.18,saliva,,Sugimoto et al. (2013) Physiological and environmental parameters associated with mass spectrometry-based salivary metabolomic profiles.,Female,uM
HMDB0000020,p-Hydroxyphenylacetic acid,0 - 8.18 - 19.18,saliva,,Sugimoto et al. (2013) Physiological and environmental parameters associated with mass spectrometry-based salivary metabolomic profiles.,Male,uM
HMDB0000020,p-Hydroxyphenylacetic acid,1.709 - 23.53 - 45.351,feces,24010549,,Both,nmol/g of feces
HMDB0000020,p-Hydroxyphenylacetic acid,0 - 26.882 - 59.679,feces,24010549,,Both,nmol/g of feces
HMDB0000020,p-Hydroxyphenylacetic acid,0 - 31.0226 - 81.1056,feces,24010549,,Both,nmol/g of feces
HMDB0000020,p-Hydroxyphenylacetic acid,0 - 63.228 - 151.958,feces,24010549,,Both,nmol/g of feces
HMDB0000020,p-Hydroxyphenylacetic acid,12.882 - 21.821 - 30.76,feces1,19573517,,Not Specified,uM
HMDB0000020,p-Hydroxyphenylacetic acid,13.1447 - 57.181 - 101.2173,feces1,20669995,,Not Specified,uM
HMDB0000020,p-Hydroxyphenylacetic acid,4.955 - 17.772 - 30.589,urine,,"Mordechai, Hien, and David S. Wishart",Not Specified,umol/mmol creatinine
HMDB0000020,p-Hydroxyphenylacetic acid,7.615 - 25.268 - 42.921,urine,,"Mordechai, Hien, and David S. Wishart",Not Specified,umol/mmol creatinine
HMDB0000020,p-Hydroxyphenylacetic acid,15.605 - 44.586 - 73.567,urine,4837567,,Both,umol/mmol creatinine
HMDB0000020,p-Hydroxyphenylacetic acid,20.063 - 56.475 - 92.887,urine,4837567,,Both,umol/mmol creatinine
HMDB0000020,p-Hydroxyphenylacetic acid,0 - 69.108 - 139.702,urine,4837567,,Both,umol/mmol creatinine
HMDB0000021,Iodotyrosine,0.00049 - 0.00069 - 0.00089,blood,2225717,,Both,uM
HMDB0000022,3-Methoxytyramine,0.0012 - 0.0014 - 0.0016, csf,7605589,,Not Specified,uM
HMDB0000022,3-Methoxytyramine,0.0016 - 0.0025 - 0.0029,blood,,"Geigy Scientific Tables, 8th Rev edition, pp. 165-177. Edited by C. Lentner, West Cadwell, N.J.: Medical education Div., Ciba-Geigy Corp., Basel, Switzerland c1981-1992.",Both,uM
HMDB0000022,3-Methoxytyramine,0.0052 - 0.014 - 0.028,urine,,"Geigy Scientific Tables, 8th Rev edition, pp. 165-177. Edited by Cornelius Lentner.; West Cadwell, N.J. : Medical education Div., Ciba-Geigy Corp.; Basel, Switzerland c1981-1992.",Both,umol/mmol creatinine
HMDB0000023,(S)-3-Hydroxyisobutyric acid,5.5 - 14.5 - 28.7,urine,8087979,,Both,umol/mmol creatinine
HMDB0000023,(S)-3-Hydroxyisobutyric acid,4.9 - 8.5 - 17.1,urine,8087979,,Both,umol/mmol creatinine
HMDB0000023,(S)-3-Hydroxyisobutyric acid,3.8 - 7.8 - 25.1,urine,8087979,,Both,umol/mmol creatinine
HMDB0000023,(S)-3-Hydroxyisobutyric acid,0 - 18.0 - 36.0, csf,8412012,,Not Specified,uM
HMDB0000023,(S)-3-Hydroxyisobutyric acid,4.0 - 20.0 - 48.0,blood,8412012,,Both,uM
HMDB0000023,(S)-3-Hydroxyisobutyric acid,19.0 - 21.0 - 23.0,blood,2614280,,Both,uM
HMDB0000023,(S)-3-Hydroxyisobutyric acid,10.2 - 25.4 - 33.5,urine,8087979,,Both,umol/mmol creatinine
HMDB0000023,(S)-3-Hydroxyisobutyric acid,2.0 - 13.0 - 24.0,urine,,"Geigy Scientific Tables, 8th Rev edition, pp. 130. Edited by C. Lentner, West Cadwell, N.J.: Medical education Div., Ciba-Geigy Corp. Basel, Switzerland c1981-1992.",Both,umol/mmol creatinine
HMDB0000023,(S)-3-Hydroxyisobutyric acid,4.1 - 11.0 - 19.0,urine,2702744,,Both,umol/mmol creatinine
HMDB0000023,(S)-3-Hydroxyisobutyric acid,11.8 - 29.0 - 59.8,urine,24023812,,Both,umol/mmol creatinine
HMDB0000023,(S)-3-Hydroxyisobutyric acid,0.52 - 1.23 - 1.94,saliva,,"Zerihun T. Dame, Farid Aziat, Rupasri Mandal, Ram Krishnamurthy, Souhaila Bouatra, Shima Borzouie, An Chi Guo, Tanvir Sajed, Lu Deng, Hong Lin, Philip Liu, Edison Dong, David S. Wishart """"The human saliva metabolome"""" Metabolomics (2015) DOI 10.1007/s11306-015-0840-5",Both,uM
HMDB0000023,(S)-3-Hydroxyisobutyric acid,6.802 - 13.39 - 19.978,urine,,"Mordechai, Hien, and David S. Wishart",Not Specified,umol/mmol creatinine
HMDB0000024,3-O-Sulfogalactosylceramide (d18:1/24:0),0.07 - 0.205 - 0.34,urine,8595716,,Both,umol/mmol creatinine
HMDB0000026,Ureidopropionic acid,1.48 - 2.23 - 2.81,urine,16513432,,Both,umol/mmol creatinine
HMDB0000027,Tetrahydrobiopterin,0.0088 - 0.0093 - 0.0098,blood,17726257,,Both,uM
HMDB0000030,Biotin,0.014 - 0.049 - 0.084,urine,1814646,,Both,umol/mmol creatinine
HMDB0000030,Biotin,0.0006 - 0.00127 - 0.00194,blood,1814646,,Both,uM
HMDB0000030,Biotin,0.0003 - 0.0005 - 0.0007, csf,10701954,,Not Specified,uM
HMDB0000030,Biotin,0.013 - 0.023 - 0.032,urine,9022537,,Both,umol/mmol creatinine
HMDB0000030,Biotin,0.002 - 0.0034 - 0.0051,blood,,"Geigy Scientific Tables, 8th Rev edition, pp. 130. Edited by C. Lentner, West Cadwell, N.J.: Medical education Div., Ciba-Geigy Corp. Basel, Switzerland c1981-1992.",Both,uM
HMDB0000030,Biotin,0.0009 - 0.0016 - 0.0028,blood,,"Geigy Scientific Tables, 8th Rev edition, pp. 130. Edited by C. Lentner, West Cadwell, N.J.: Medical education Div., Ciba-Geigy Corp. Basel, Switzerland c1981-1992.",Not Specified,uM
HMDB0000030,Biotin,0.0008 - 0.0024 - 0.0041,blood,,"Geigy Scientific Tables, 8th Rev edition, pp. 130. Edited by C. Lentner, West Cadwell, N.J.: Medical education Div., Ciba-Geigy Corp. Basel, Switzerland c1981-1992.",Female,uM
HMDB0000030,Biotin,0.002 - 0.014 - 0.044,urine,,"Geigy Scientific Tables, 8th Rev edition, pp. 130. Edited by C. Lentner, West Cadwell, N.J.: Medical education Div., Ciba-Geigy Corp. Basel, Switzerland c1981-1992.",Both,umol/mmol creatinine
HMDB0000030,Biotin,0.00025 - 0.000557 - 0.000864, csf,10577274,,Not Specified,uM
HMDB0000030,Biotin,0.03 - 0.071 - 0.112,saliva,,"Zerihun T. Dame, Farid Aziat, Rupasri Mandal, Ram Krishnamurthy, Souhaila Bouatra, Shima Borzouie, An Chi Guo, Tanvir Sajed, Lu Deng, Hong Lin, Philip Liu, Edison Dong, David S. Wishart """"The human saliva metabolome"""" Metabolomics (2015) DOI 10.1007/s11306-015-0840-5",Both,uM
HMDB0000030,Biotin,0 - 0.123 - 0.264,saliva,,Sugimoto et al. (2013) Physiological and environmental parameters associated with mass spectrometry-based salivary metabolomic profiles.,Male,uM
HMDB0000030,Biotin,0.146 - 0.296 - 0.446,saliva,,Sugimoto et al. (2013) Physiological and environmental parameters associated with mass spectrometry-based salivary metabolomic profiles.,Female,uM
HMDB0000031,Androsterone,5.04 - 6.69 - 8.34,urine,6211346,,Female,umol/mmol creatinine
HMDB0000031,Androsterone,0.00053 - 0.00065 - 0.00088,blood,17716701,,Both,uM
HMDB0000031,Androsterone,0.106 - 0.12 - 0.134,blood,10625505,,Male,uM
HMDB0000031,Androsterone,0.11 - 0.36 - 0.67,urine,8187312,,Female,umol/mmol creatinine
HMDB0000031,Androsterone,0.23 - 0.27 - 0.33,urine,11085621,,Male,umol/mmol creatinine
HMDB0000031,Androsterone,0.11 - 0.16 - 0.18,urine,11085621,,Female,umol/mmol creatinine
HMDB0000032,7-Dehydrocholesterol,0.0068 - 0.029 - 0.051,urine,16451140,,Both,umol/mmol creatinine
HMDB0000032,7-Dehydrocholesterol,2.8 - 5.0 - 7.2,blood,11590227,,Both,uM
HMDB0000033,Carnosine,0.6 - 1.1 - 1.6,urine,9029640,,Both,umol/mmol creatinine
HMDB0000033,Carnosine,0 - 3.1 - 10.6,blood,,"Geigy Scientific Tables, 8th Rev edition, pp. 80-97. Edited by C. Lentner, West Cadwell, N.J.: Medical education Div., Ciba-Geigy Corp., Basel, Switzerland c1981-1992.",Both,uM
HMDB0000033,Carnosine,5.54 - 6.54 - 7.54,blood,17031479,,Both,uM
HMDB0000033,Carnosine,0 - 3.2 - 7.56,urine,,"Geigy Scientific Tables, 8th Rev edition, pp. 165-177. Edited by Cornelius Lentner.; West Cadwell, N.J. : Medical education Div., Ciba-Geigy Corp.; Basel, Switzerland c1981-1992.",Female,umol/mmol creatinine
HMDB0000033,Carnosine,0.8 - 3.5 - 6.2,urine,,"Geigy Scientific Tables, 8th Rev edition, pp. 165-177. Edited by Cornelius Lentner.; West Cadwell, N.J. : Medical education Div., Ciba-Geigy Corp.; Basel, Switzerland c1981-1992.",Male,umol/mmol creatinine
HMDB0000033,Carnosine,1.5 - 4.0 - 6.5,urine,,"Geigy Scientific Tables, 8th Rev edition, pp. 165-177. Edited by Cornelius Lentner.; West Cadwell, N.J. : Medical education Div., Ciba-Geigy Corp.; Basel, Switzerland c1981-1992.",Female,umol/mmol creatinine
HMDB0000033,Carnosine,0.2 - 1.2 - 4.1,urine,24023812,,Both,umol/mmol creatinine
HMDB0000033,Carnosine,1.4 - 5.5 - 12.6,urine,24023812,,Both,umol/mmol creatinine
HMDB0000033,Carnosine,0 - 0.115 - 0.405,saliva,,Sugimoto et al. (2013) Physiological and environmental parameters associated with mass spectrometry-based salivary metabolomic profiles.,Female,uM
HMDB0000033,Carnosine,0.035 - 0.469 - 0.903,saliva,,Sugimoto et al. (2013) Physiological and environmental parameters associated with mass spectrometry-based salivary metabolomic profiles.,Male,uM
HMDB0000033,Carnosine,0 - 18.3608 - 38.6774,urine,,"Mordechai, Hien, and David S. Wishart",Not Specified,umol/mmol creatinine
HMDB0000033,Carnosine,0 - 34.427 - 81.443,urine,,"Mordechai, Hien, and David S. Wishart",Not Specified,umol/mmol creatinine
HMDB0000033,Carnosine,1.4063 - 4.0133 - 6.6203,urine,,"Geigy Scientific Tables, 8th Rev edition, Volume 1. p.66. Edited by C. Lentner, West Cadwell, N.J.: Medical education Div., Ciba-Geigy Corp., Basel, Switzerland c1981-1992.",Female,umol/mmol creatinine
HMDB0000033,Carnosine,0.267 - 2.38 - 4.493,urine,,"Geigy Scientific Tables, 8th Rev edition, Volume 1. p.66. Edited by C. Lentner, West Cadwell, N.J.: Medical education Div., Ciba-Geigy Corp., Basel, Switzerland c1981-1992.",Female,umol/mmol creatinine
HMDB0000033,Carnosine,0 - 3.24 - 7.653,urine,,"Geigy Scientific Tables, 8th Rev edition, Volume 1. p.66. Edited by C. Lentner, West Cadwell, N.J.: Medical education Div., Ciba-Geigy Corp., Basel, Switzerland c1981-1992.",Female,umol/mmol creatinine
HMDB0000033,Carnosine,0.787 - 3.547 - 6.307,urine,,"Geigy Scientific Tables, 8th Rev edition, Volume 1. p.66. Edited by C. Lentner, West Cadwell, N.J.: Medical education Div., Ciba-Geigy Corp., Basel, Switzerland c1981-1992.",Male,umol/mmol creatinine
HMDB0000033,Carnosine,0.96 - 4.193 - 7.426,urine,,"Geigy Scientific Tables, 8th Rev edition, Volume 1. p.66. Edited by C. Lentner, West Cadwell, N.J.: Medical education Div., Ciba-Geigy Corp., Basel, Switzerland c1981-1992.",Male,umol/mmol creatinine
HMDB0000033,Carnosine,0.713 - 4.58 - 8.447,urine,,"Geigy Scientific Tables, 8th Rev edition, Volume 1. p.66. Edited by C. Lentner, West Cadwell, N.J.: Medical education Div., Ciba-Geigy Corp., Basel, Switzerland c1981-1992.",Male,umol/mmol creatinine
HMDB0000034,Adenine,0.2 - 0.3 - 0.4,blood,6656991,,Both,uM
