	x
100	5-Hydroxy-L-tryptophan
101	3-Methylhistidine
102	Caprylic acid
103	3-Methyl-2-oxovaleric acid
104	5alpha-Androstane-3beta,17beta-diol
105	Ribitol
106	Capric acid
107	N-Acetyl-L-phenylalanine
108	L-Arginine
109	Chenodeoxycholic acid
110	5-Hydroxyhexanoic acid
111	5Z-Dodecenoic acid
112	Acetylglycine
113	Caproic acid
114	Arabinonic acid
115	3-Methylglutarylcarnitine
116	Goshuyic acid
117	Creatinine
118	PC(16:0/16:0)
119	Galactonic acid
120	PC(18:1(9Z)/18:1(9Z))
121	gamma-Glutamylphenylalanine
122	D-2-Hydroxyglutaric acid
123	CE(18:2(9Z,12Z))
124	Erythronic acid
125	Ethylmalonic acid
126	Dodecanedioic acid
127	Gluconic acid
128	Deoxycholic acid
129	Chenodeoxycholic acid glycine conjugate
130	Dodecanoic acid
131	Levoglucosan
132	L-Glutamine
133	D-alpha-Aminobutyric acid
134	Decanoylcarnitine
135	Cysteineglutathione disulfide
136	CE(16:1(9Z))
137	Heptanoic acid
138	ortho-Hydroxyphenylacetic acid
139	Indolelactic acid
140	Hexadecanedioic acid
141	Linoleic acid
142	Homocitrulline
143	Indoxyl sulfate
144	L-Kynurenine
145	L-Leucine
146	Isovalerylcarnitine
147	Malonic acid
148	Ketoleucine
149	L-Methionine
150	1-Methylnicotinamide
151	Hexanoylglycine
152	Aspartylphenylalanine
153	Glycoursodeoxycholic acid
154	Hydroxyoctanoic acid
155	Hippuric acid
156	Kynurenic acid
157	Isovaleric acid
158	Levulinic acid
159	4-Hydroxyproline
160	alpha-Hydroxyisobutyric acid
161	Isobutyryl-L-carnitine
162	3-Hydroxymandelic acid
163	3-Hydroxyisovaleric acid
164	Hydroxyphenyllactic acid
165	5-Hydroxyindoleacetic acid
166	Hydrocinnamic acid
167	Mannitol
168	N-Acetyl-L-alanine
169	Pseudouridine
170	Nonadecanoic acid
171	Pregnenolone sulfate
172	Phenyllactic acid
173	Octadecanedioic acid
174	Octanoylcarnitine
175	Myristic acid
176	N-Butyrylglycine
177	N-Acetyl-L-aspartic acid
178	Propionylcarnitine
179	Pentadecanoic acid
180	Stearic acid
181	Stearoylcarnitine
182	N-alpha-Acetyl-L-citrulline
183	Isopropyl alcohol
184	Ribonic acid
185	Tetradecanedioic acid
186	Trigonelline
187	Xanthurenic acid
188	L-Valine
189	Ribothymidine
190	CE(16:0)
191	Undecanedioic acid
192	Suberic acid
193	7-Methylguanine
194	Citrulline
195	Trimethylamine
196	CE(18:1(9Z))
197	Trimethylamine N-oxide
198	L-Tryptophan
199	Tartaric acid
200	trans-Aconitic acid
201	DL-2-Aminooctanoic acid
202	3-Sulfinoalanine
203	Biliverdin
204	Dehydroepiandrosterone sulfate
205	Arachidonic acid
206	N-Acetylaspartylglutamic acid
207	2-Aminobenzoic acid
208	N-Acetyl-L-glutamic acid
209	4-Trimethylammoniobutanoic acid
210	5'-Methylthioadenosine
211	D-Alanine
212	N6,N6,N6-Trimethyl-L-lysine
213	SM(d18:1/18:0)
214	alpha-Linolenic acid
215	Niacinamide
216	Estrone sulfate
217	3-Methoxytyrosine
218	gamma-Tocopherol
219	Acetylphosphate
220	Asymmetric dimethylarginine
221	Phosphorylcholine
222	Acetone
223	Methylsuccinic acid
224	Caffeine
225	L-Arabitol
226	1,3-Dimethyluric acid
227	Paraxanthine
228	Methanol
229	Propylene glycol
230	3-Methylxanthine
231	Theophylline
232	Ibuprofen
233	gamma-CEHC
234	Docosapentaenoic acid (22n-6)
235	7-Methylxanthine
236	Eicosapentaenoic acid
237	Myristoleic acid
238	Methionine sulfoxide
239	Butyrylcarnitine
240	cis-5-Tetradecenoylcarnitine
241	Imidazoleacetic acid
242	Ureidoisobutyric acid
243	N(6)-Methyllysine
244	Oleoylethanolamide
245	Methylcysteine
246	1,3,7-Trimethyluric acid
247	Docosahexaenoic acid
248	3-Hydroxycapric acid
249	Arachidic acid
250	Adrenic acid
251	11Z-Eicosenoic acid
252	Dodecanoylcarnitine
253	Heptadecanoic acid
254	Imidazolepropionic acid
255	Indole-3-propionic acid
256	Imidazolelactic acid
257	Oxalic acid
258	Imidazoleacetic acid riboside
259	Taurolithocholic acid 3-sulfate
260	Sulfolithocholylglycine
261	1,5-Anhydrosorbitol
262	Androsterone sulfate
263	Cortisone
264	LysoPC(18:1(9Z)/0:0)
265	Methylimidazoleacetic acid
266	Dihomo-gamma-linolenic acid
267	N-Acetylserine
268	Erythritol
269	Ergothioneine
270	gamma-Linolenic acid
271	1-Methyluric acid
272	Palmitoleic acid
273	1-Methyladenosine
274	N2-Acetylornithine
275	4-Guanidinobutanoic acid
276	4-Acetamidobutanoic acid
277	5-Androstenediol
278	3-Aminoisobutanoic acid
279	Pregnanediol
280	21-Hydroxypregnenolone
281	22b-Hydroxycholesterol
282	Formylanthranilic acid
283	N1-Methyl-4-pyridone-3-carboxamide
284	Bradykinin
285	5-Acetylamino-6-amino-3-methyluracil
286	Etiocholanolone glucuronide
287	N-a-Acetyl-L-arginine
288	MG(0:0/20:4(5Z,8Z,11Z,14Z)/0:0)
289	13-HODE
290	N2,N2-Dimethylguanosine
291	Proline betaine
292	Cer(d18:1/16:0)
293	Cer(d18:1/18:0)
294	Cer(d18:1/22:0)
295	Cer(d18:1/24:1(15Z))
296	Cer(d18:1/24:0)
297	GlcCer(d18:1/12:0)
298	GlcCer(d18:1/16:0)
299	GlcCer(d18:1/24:1(15Z))
300	Eicosadienoic acid
301	Oleoylcarnitine
302	Tetradecanoylcarnitine
303	TG(16:0/16:1(9Z)/16:1(9Z))
304	TG(16:0/18:2(9Z,12Z)/18:2(9Z,12Z))
305	TG(18:0/18:1(9Z)/18:1(9Z))
306	TG(16:1(9Z)/16:1(9Z)/16:1(9Z))
307	TG(16:1(9Z)/16:1(9Z)/18:1(9Z))
308	TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z))
309	TG(16:1(9Z)/18:1(9Z)/18:1(9Z))
310	TG(16:1(9Z)/18:2(9Z,12Z)/20:0)
311	TG(16:1(9Z)/18:2(9Z,12Z)/18:2(9Z,12Z))
312	TG(18:1(9Z)/18:1(9Z)/20:1(11Z))
313	TG(18:1(9Z)/18:1(9Z)/18:2(9Z,12Z))
314	TG(18:1(9Z)/18:2(9Z,12Z)/18:2(9Z,12Z))
315	TG(18:1(9Z)/18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))
316	TG(18:1(9Z)/20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))
317	PE(P-18:0/20:4(5Z,8Z,11Z,14Z))
318	PE(P-16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
319	N-Acetylasparagine
320	N-Acetylglutamine
321	scyllo-Inositol
322	12-HETE
323	Linoelaidic acid
324	Phenylacetylglutamine
325	Linoleyl carnitine
326	D-Aspartic acid
327	Docosapentaenoic acid (22n-3)
328	Stearidonic acid
329	Prolylhydroxyproline
330	CE(14:0)
331	CE(20:4(5Z,8Z,11Z,14Z))
332	CE(20:5(5Z,8Z,11Z,14Z,17Z))
333	CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z))
334	CE(20:3(8Z,11Z,14Z))
335	LacCer(d18:1/16:0)
336	DG(14:0/20:0/0:0)
337	DG(16:0/18:2(9Z,12Z)/0:0)
338	DG(16:1(9Z)/18:1(9Z)/0:0)
339	DG(18:0/18:1(9Z)/0:0)
340	DG(18:1(11Z)/18:2(9Z,12Z)/0:0)
341	DG(18:1(9Z)/18:1(9Z)/0:0)
342	PC(14:0/16:0)
343	PC(14:0/18:2(9Z,12Z))
344	PC(14:0/20:0)
345	PC(14:0/20:1(11Z))
346	PC(14:0/20:2(11Z,14Z))
347	PC(14:0/20:3(5Z,8Z,11Z))
348	PC(14:0/22:0)
349	PC(14:0/22:1(13Z))
350	PC(14:0/22:5(4Z,7Z,10Z,13Z,16Z))
351	PC(14:0/22:5(7Z,10Z,13Z,16Z,19Z))
352	PC(14:1(9Z)/14:0)
353	PC(14:1(9Z)/22:2(13Z,16Z))
354	PC(14:1(9Z)/24:1(15Z))
355	PC(15:0/18:2(9Z,12Z))
356	PC(15:0/20:4(5Z,8Z,11Z,14Z))
357	PC(16:0/16:1(9Z))
358	PC(16:0/18:2(9Z,12Z))
359	PC(16:0/18:3(6Z,9Z,12Z))
360	PC(16:0/20:3(8Z,11Z,14Z))
361	PC(16:0/20:4(5Z,8Z,11Z,14Z))
362	PC(16:0/20:4(8Z,11Z,14Z,17Z))
363	PC(16:0/20:5(5Z,8Z,11Z,14Z,17Z))
364	PC(16:0/22:4(7Z,10Z,13Z,16Z))
365	PC(16:0/22:5(4Z,7Z,10Z,13Z,16Z))
366	PC(16:0/22:5(7Z,10Z,13Z,16Z,19Z))
367	PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
368	PC(16:1(9Z)/16:1(9Z))
369	PC(16:1(9Z)/18:2(9Z,12Z))
370	PC(16:1(9Z)/22:2(13Z,16Z))
371	PC(16:1(9Z)/22:4(7Z,10Z,13Z,16Z))
372	PC(16:1(9Z)/P-18:1(11Z))
373	PC(18:0/20:3(5Z,8Z,11Z))
374	PC(18:0/20:4(5Z,8Z,11Z,14Z))
375	PC(18:0/22:4(7Z,10Z,13Z,16Z))
376	PC(18:0/22:5(4Z,7Z,10Z,13Z,16Z))
377	PC(18:0/22:5(7Z,10Z,13Z,16Z,19Z))
378	PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
379	PC(18:1(11Z)/14:1(9Z))
380	PC(18:1(11Z)/18:0)
381	PC(18:1(11Z)/18:1(11Z))
382	PC(18:1(11Z)/18:1(9Z))
383	PC(18:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z))
384	PC(18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
385	PC(18:1(9Z)/18:2(9Z,12Z))
386	PC(18:1(9Z)/20:3(5Z,8Z,11Z))
387	PC(18:2(9Z,12Z)/14:1(9Z))
388	PC(18:2(9Z,12Z)/15:0)
389	PC(18:2(9Z,12Z)/18:0)
390	PC(18:2(9Z,12Z)/18:2(9Z,12Z))
391	PC(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))
392	PC(18:3(6Z,9Z,12Z)/24:1(15Z))
393	PC(18:3(6Z,9Z,12Z)/P-16:0)
394	PC(18:4(6Z,9Z,12Z,15Z)/15:0)
395	PC(18:4(6Z,9Z,12Z,15Z)/16:0)
396	PC(20:0/18:3(6Z,9Z,12Z))
397	PC(20:1(11Z)/20:1(11Z))
398	PC(20:1(11Z)/20:2(11Z,14Z))
399	PC(20:2(11Z,14Z)/15:0)
400	PC(20:2(11Z,14Z)/20:4(5Z,8Z,11Z,14Z))
401	PC(20:3(5Z,8Z,11Z)/16:1(9Z))
402	PC(20:3(5Z,8Z,11Z)/20:3(8Z,11Z,14Z))
403	PC(20:3(8Z,11Z,14Z)/15:0)
404	PC(20:4(5Z,8Z,11Z,14Z)/18:1(11Z))
405	PC(20:4(5Z,8Z,11Z,14Z)/24:1(15Z))
406	PC(20:4(8Z,11Z,14Z,17Z)/14:0)
407	PC(20:4(8Z,11Z,14Z,17Z)/15:0)
408	PC(20:5(5Z,8Z,11Z,14Z,17Z)/15:0)
409	PC(20:5(5Z,8Z,11Z,14Z,17Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
410	PC(20:5(5Z,8Z,11Z,14Z,17Z)/P-18:0)
411	PC(22:0/18:4(6Z,9Z,12Z,15Z))
412	PC(22:0/20:0)
413	PC(22:0/20:1(11Z))
414	PC(22:0/20:2(11Z,14Z))
415	PC(22:0/20:4(8Z,11Z,14Z,17Z))
416	PC(22:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
417	PC(22:1(13Z)/18:3(6Z,9Z,12Z))
418	PC(22:2(13Z,16Z)/20:3(8Z,11Z,14Z))
419	PC(22:2(13Z,16Z)/20:4(5Z,8Z,11Z,14Z))
420	PC(22:4(7Z,10Z,13Z,16Z)/15:0)
421	PC(22:5(4Z,7Z,10Z,13Z,16Z)/14:1(9Z))
422	PC(22:5(7Z,10Z,13Z,16Z,19Z)/15:0)
423	PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/15:0)
424	PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-16:0)
425	PC(24:0/18:0)
426	PE(14:0/20:0)
427	PE(14:0/20:1(11Z))
428	PE(14:0/20:2(11Z,14Z))
429	PE(14:0/22:2(13Z,16Z))
430	PE(14:0/22:4(7Z,10Z,13Z,16Z))
431	PE(14:1(9Z)/22:2(13Z,16Z))
432	PE(14:1(9Z)/24:1(15Z))
433	PE(16:0/18:2(9Z,12Z))
434	PE(16:0/22:5(4Z,7Z,10Z,13Z,16Z))
435	PE(16:1(9Z)/22:2(13Z,16Z))
436	PE(18:0/18:1(9Z))
437	PE(18:0/20:4(5Z,8Z,11Z,14Z))
438	PE(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
439	PE(20:2(11Z,14Z)/15:0)
440	PE(20:4(8Z,11Z,14Z,17Z)/18:0)
441	PE(22:2(13Z,16Z)/15:0)
442	PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
443	PI(16:0/18:1(9Z))
444	PI(16:0/18:2(9Z,12Z))
445	PI(18:0/16:0)
446	PI(18:0/18:2(9Z,12Z))
447	PI(18:0/20:4(5Z,8Z,11Z,14Z))
448	PI(18:1(9Z)/16:0)
449	PI(18:2(9Z,12Z)/16:0)
450	PI(20:2(11Z,14Z)/16:0)
451	PI(20:3(8Z,11Z,14Z)/16:0)
452	PI(20:4(8Z,11Z,14Z,17Z)/16:0)
453	PI(22:4(7Z,10Z,13Z,16Z)/16:0)
454	PI(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:0)
455	SM(d18:0/16:0)
456	SM(d18:1/16:0)
457	Acetaminophen glucuronide
458	Pregnanediol 3-O-glucuronide
459	CE(18:0)
460	CE(18:3(6Z,9Z,12Z))
461	CE(18:3(9Z,12Z,15Z))
462	CE(20:3(5Z,8Z,11Z))
463	CE(22:5(4Z,7Z,10Z,13Z,16Z))
464	LysoPC(16:0/0:0)
465	LysoPC(16:1(9Z)/0:0)
466	LysoPC(18:0/0:0)
467	LysoPC(18:2(9Z,12Z)/0:0)
468	LysoPC(20:0/0:0)
469	LysoPC(20:2(11Z,14Z)/0:0)
470	LysoPC(20:3(5Z,8Z,11Z)/0:0)
471	LysoPC(20:3(8Z,11Z,14Z)/0:0)
472	LysoPC(20:4(5Z,8Z,11Z,14Z)/0:0)
473	LysoPC(20:4(8Z,11Z,14Z,17Z)/0:0)
474	LysoPC(20:5(5Z,8Z,11Z,14Z,17Z)/0:0)
475	LysoPC(22:5(4Z,7Z,10Z,13Z,16Z)/0:0)
476	LysoPC(22:5(7Z,10Z,13Z,16Z,19Z)/0:0)
477	LysoPC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)
478	TG(16:1(9Z)/14:0/18:2(9Z,12Z))
479	TG(18:1(9Z)/18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
480	TG(18:2(9Z,12Z)/18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
481	TG(18:3(9Z,12Z,15Z)/18:3(9Z,12Z,15Z)/22:5(7Z,10Z,13Z,16Z,19Z))
482	TG(18:3(9Z,12Z,15Z)/20:4(5Z,8Z,11Z,14Z)/18:3(9Z,12Z,15Z))
483	PG(16:0/18:0)
484	PG(18:0/18:0)
485	1-Methylxanthine
486	1,7-Dimethyluric acid
487	LysoPE(0:0/18:0)
488	LysoPE(18:0/0:0)
489	MG(18:0/0:0/0:0)
490	5-HETE
491	PC(O-16:0/18:2(9Z,12Z))
492	PA(O-20:4(5Z,8Z,11Z,14Z)/2:0)
493	gamma-Glutamylisoleucine
494	gamma-Glutamylleucine
495	gamma-Glutamylvaline
496	Prolylproline
497	PC(P-16:0/18:1(9Z))
498	PC(P-16:0/18:2(9Z,12Z))
499	PC(P-16:0/18:3(9Z,12Z,15Z))
500	PC(P-16:0/20:3(5Z,8Z,11Z))
501	PC(P-16:0/20:4(5Z,8Z,11Z,14Z))
502	PC(P-16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
503	PC(P-16:0/P-18:1(11Z))
504	PC(P-18:0/18:1(9Z))
505	PC(P-18:0/20:4(5Z,8Z,11Z,14Z))
506	PC(P-18:0/22:5(4Z,7Z,10Z,13Z,16Z))
507	PC(P-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
508	PE(P-16:0/18:1(9Z))
509	PE(P-16:0/18:2(9Z,12Z))
510	PE(P-16:0/20:4(5Z,8Z,11Z,14Z))
511	PE(P-18:0/18:2(9Z,12Z))
512	PE(P-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
513	LysoPE(0:0/16:0)
514	LysoPE(0:0/18:2(9Z,12Z))
515	LysoPE(0:0/20:0)
516	LysoPE(0:0/20:2(11Z,14Z))
517	LysoPE(0:0/20:4(5Z,8Z,11Z,14Z))
518	LysoPE(0:0/22:4(7Z,10Z,13Z,16Z))
519	LysoPE(0:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
520	LysoPE(16:0/0:0)
521	LysoPE(18:1(9Z)/0:0)
522	LysoPE(18:2(9Z,12Z)/0:0)
523	LysoPE(20:4(5Z,8Z,11Z,14Z)/0:0)
524	MG(18:1(9Z)/0:0/0:0)
525	MG(18:2(9Z,12Z)/0:0/0:0)
526	MG(18:3(6Z,9Z,12Z)/0:0/0:0)
527	MG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0/0:0)
528	p-Cresol sulfate
529	SM(d18:1/24:0)
530	SM(d18:1/26:0)
531	Glycyl-glycine
532	N2-gamma-Glutamylglutamine
533	gamma-Glutamyltyrosine
534	N-Acetyl-L-methionine
535	2-Piperidinone
536	N-Acetylleucine
537	N-Acetylvaline
538	Cer(d18:0/23:0)
539	SM(d18:0/14:0)
540	SM(d18:0/18:0)
541	SM(d18:1/14:0)
542	SM(d18:1/18:1(11Z))
543	SM(d18:1/18:1(9Z))
544	SM(d18:1/20:0)
545	SM(d18:1/22:0)
546	SM(d18:1/22:1(13Z))
547	SM(d18:1/24:1(15Z))
548	LysoPC(17:0/0:0)
549	3-Dehydrocarnitine
550	Acetylcarnosine
551	Valerylcarnitine
552	Glutarylcarnitine
553	Methylmalonylcarnitine
554	9-Decenoylcarnitine
555	Indoleacetyl glutamine
556	Leucylphenylalanine
557	Ne,Ne dimethyllysine
558	Nonanoylcarnitine
559	2-Octenoylcarnitine
560	PC(O-14:0/16:1(9Z))
561	PC(O-16:0/16:1(9Z))
562	PC(O-16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
563	PC(O-16:1(9Z)/16:1(9Z))
564	PC(O-16:1(9Z)/18:0)
565	PC(O-16:1(9Z)/18:2(9Z,12Z))
566	PC(O-16:1(9Z)/20:0)
567	PC(O-16:1(9Z)/20:4(8Z,11Z,14Z,17Z))
568	PC(O-18:0/18:0)
569	PC(O-18:0/18:2(9Z,12Z))
570	PC(O-18:0/20:0)
571	PC(O-18:0/20:4(8Z,11Z,14Z,17Z))
572	PC(O-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
573	PC(O-18:1(9Z)/16:0)
574	PC(O-18:1(9Z)/18:2(9Z,12Z))
575	PC(O-18:1(9Z)/20:0)
576	PC(O-18:1(9Z)/20:1(11Z))
577	PC(O-18:1(9Z)/20:4(8Z,11Z,14Z,17Z))
578	PC(O-18:1(9Z)/22:0)
579	PC(O-18:1(9Z)/24:0)
580	PC(O-18:2(9Z,12Z)/18:2(9Z,12Z))
581	PC(O-18:2(9Z,12Z)/22:0)
582	PC(O-18:2(9Z,12Z)/24:0)
583	PC(O-20:0/18:3(6Z,9Z,12Z))
584	PC(O-20:0/20:4(8Z,11Z,14Z,17Z))
585	PC(O-20:1(11Z)/20:4(8Z,11Z,14Z,17Z))
586	PC(O-22:0/22:3(10Z,13Z,16Z))
587	PC(O-22:1(13Z)/20:4(8Z,11Z,14Z,17Z))
588	PC(O-22:1(13Z)/22:3(10Z,13Z,16Z))
589	PC(O-22:2(13Z,16Z)/22:3(10Z,13Z,16Z))
590	PC(O-22:3(10Z,13Z,16Z)/22:3(10Z,13Z,16Z))
591	SM(d18:1/26:1(17Z))
592	SM(d18:0/14:1(9Z)(OH))
593	SM(d18:0/16:1(9Z)(OH))
594	SM(d18:0/22:1(13Z)(OH))
595	SM(d18:0/24:1(15Z)(OH))
596	10Z-Nonadecenoic acid
597	Phenylbutazone
598	Glutamylglycine
599	Glutamyltyrosine
600	Glycyl-Phenylalanine
601	Histidyltryptophan
602	Isoleucyl-Valine
603	Leucylalanine
604	Leucyl-Glutamine
605	Phenylalanylserine
606	Serylalanine
607	Valylarginine
608	gamma-Glutamylhistidine
609	LysoPC(28:0/0:0)
610	SM C16:1
611	LysoPC(28:1(5Z)/0:0)
612	L-Targinine
613	Methyl 10-undecenoate
614	Methyl beta-D-glucopyranoside
615	2-Hydroxyhexadecanoic acid
616	Methyl nonanoate
617	N-Acetylhistidine
618	9-O-Methylcoumestrol
619	Undecylenic acid
620	Eudesmic acid
621	L,L-Cyclo(leucylprolyl)
622	N-(1-Deoxy-1-fructosyl)tryptophan
623	Pyro-L-glutaminyl-L-glutamine
624	N6-Carbamoyl-L-threonyladenosine
625	gamma-Carboxyglutamic acid
626	TG(14:1(9Z)/15:0/18:3(9Z,12Z,15Z))
627	TG(14:1(9Z)/18:2(9Z,12Z)/14:1(9Z))
628	TG(14:1(9Z)/18:3(9Z,12Z,15Z)/14:1(9Z))
629	TG(16:1(9Z)/15:0/18:2(9Z,12Z))
630	TG(16:1(9Z)/15:0/18:3(9Z,12Z,15Z))
631	TG(16:1(9Z)/15:0/18:4(6Z,9Z,12Z,15Z))
632	TG(16:1(9Z)/14:1(9Z)/18:1(9Z))
633	TG(16:1(9Z)/14:1(9Z)/18:2(9Z,12Z))
634	TG(20:1(11Z)/14:0/O-18:0)
635	TG(18:2(9Z,12Z)/14:0/O-18:0)
636	TG(18:2(9Z,12Z)/15:0/O-18:0)
637	TG(20:2n6/14:0/O-18:0)
638	TG(20:3n6/15:0/O-18:0)
639	TG(18:3(9Z,12Z,15Z)/14:0/O-18:0)
640	TG(18:3(9Z,12Z,15Z)/15:0/O-18:0)
641	TG(18:3(9Z,12Z,15Z)/16:0/O-18:0)
642	TG(18:3(9Z,12Z,15Z)/18:0/O-18:0)
643	TG(18:4(6Z,9Z,12Z,15Z)/14:0/O-18:0)
644	TG(18:4(6Z,9Z,12Z,15Z)/15:0/O-18:0)
645	TG(18:4(6Z,9Z,12Z,15Z)/14:1(9Z)/O-18:0)
646	TG(20:4(8Z,11Z,14Z,17Z)/14:0/O-18:0)
647	TG(20:4(8Z,11Z,14Z,17Z)/15:0/O-18:0)
648	TG(20:4(8Z,11Z,14Z,17Z)/16:0/O-18:0)
649	TG(20:4(8Z,11Z,14Z,17Z)/18:0/O-18:0)
650	TG(20:5(5Z,8Z,11Z,14Z,17Z)/14:0/O-18:0)
651	TG(20:5(5Z,8Z,11Z,14Z,17Z)/15:0/O-18:0)
652	TG(20:5(5Z,8Z,11Z,14Z,17Z)/14:1(9Z)/O-18:0)
653	TG(20:5(5Z,8Z,11Z,14Z,17Z)/18:3(9Z,12Z,15Z)/O-18:0)
654	TG(22:5(7Z,10Z,13Z,16Z,19Z)/14:0/O-18:0)
655	TG(22:5(7Z,10Z,13Z,16Z,19Z)/16:0/O-18:0)
656	TG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:0/O-18:0)
657	TG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/14:1(9Z)/O-18:0)
658	TG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:1(9Z)/O-18:0)
659	TG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:1(9Z)/O-18:0)
660	TG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:2(9Z,12Z)/O-18:0)
661	TG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z)/O-18:0)
662	TG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:4(6Z,9Z,12Z,15Z)/O-18:0)
663	DG(15:0/0:0/18:1n9)
664	DG(20:0/0:0/14:1n5)
665	DG(22:0/0:0/14:1n5)
666	DG(16:1n7/0:0/16:1n7)
667	DG(16:1n7/0:0/18:1n9)
668	DG(16:1n7/0:0/18:2n6)
669	DG(18:1n9/0:0/18:1n9)
670	DG(18:1n9/0:0/18:2n6)
671	DG(20:1n9/0:0/18:2n6)
672	DG(18:2n6/0:0/18:2n6)
673	DG(18:2n6/0:0/20:2n6)
674	DG(18:2n6/0:0/18:3n3)
675	DG(20:2n6/0:0/18:3n3)
676	DG(20:3n6/0:0/18:3n3)
677	DG(22:2n6/0:0/22:4n6)
678	DG(22:2n6/0:0/20:5n3)
679	DG(22:2n6/0:0/22:5n3)
680	N-Acetylaminooctanoic acid
681	Phenol sulphate
682	CE(15:0)
683	CE(17:0)
684	CE(17:1)
685	4-Hydroxyphenyl acetate
686	3-Carboxy-4-methyl-5-propyl-2-furanpropionic acid
687	Lenticin
688	3-Hydroxyisovalerylcarnitine
689	N-(3-acetamidopropyl)pyrrolidin-2-one
690	N-Acetylisoleucine
