"",id,trait,note,group_name,mr,year,author,sex,pmid,population,unit,sample_size,nsnp,build,category,subcategory,ontology,ncase,consortium,ncontrol,priority,sd
"11",ukb-b-5326,Operative procedures - main OPCS: X33.9 Unspecified other blood transfusion,41200#X339: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,463010,9851867,HG19/GRCh37,Binary,NA,NA,1549,MRC-IEU,461461,1,
"12",ukb-d-22608_2,Workplace very hot: Often,NA,public,1,2018,Neale lab,Males and Females,,European,NA,90165,13296638,HG19/GRCh37,Binary,NA,NA,10169,NA,79996,0,
"13",ebi-a-GCST90011362,OTU97_11 (Parabacteroides) abundance,NA,public,1,2021,R<U+00FC>hlemann MC,NA,33462482,European,NA,8956,5471931,HG19/GRCh37,NA,NA,NA,,NA,,0,
"14",ebi-a-GCST009541,Heart failure,NA,public,1,2020,Shah S,NA,31919418,European,NA,977323,7773021,HG19/GRCh37,NA,NA,NA,47309,NA,930014,0,
"15",finn-b-O15_POSTPART_DEPR,Postpartum depression,O15_POSTPART_DEPR,public,1,2021,NA,Males and Females,,European,NA,,16376275,HG19/GRCh37,Binary,NA,NA,7604,NA,59601,0,
"16",ukb-d-5610_3,Which eye(s) affected by presbyopia: Both eyes,NA,public,1,2018,Neale lab,Males and Females,,European,NA,31494,13535065,HG19/GRCh37,Binary,NA,NA,28009,NA,3485,0,
"17",ebi-a-GCST90011381,OTU97_2 (Bacteroides) abundance,NA,public,1,2021,R<U+00FC>hlemann MC,NA,33462482,European,NA,8956,5457404,HG19/GRCh37,NA,NA,NA,,NA,,0,
"18",ukb-e-2100_AFR,"Seen a psychiatrist for nerves, anxiety, tension or depression",NA,public,1,2020,Pan-UKB team,Males and Females,,African American or Afro-Caribbean,NA,6503,15526635,HG19/GRCh37,Binary,NA,NA,536,NA,5967,0,
"19",ukb-e-20019_CSA,Speech-reception-threshold (SRT) estimate (left),NA,public,1,2020,Pan-UKB team,Males and Females,,South Asian,NA,4569,9802600,HG19/GRCh37,Continuous,NA,NA,4569,NA,0,0,
"20",ubm-a-2278,NET100 1122,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7916,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"21",finn-b-H7_GLOBEDEGENERATED,Degenerated conditions of globe,H7_GLOBEDEGENERATED,public,1,2021,NA,Males and Females,,European,NA,,16380461,HG19/GRCh37,Binary,NA,NA,82,NA,211720,0,
"22",ukb-b-20382,PCT responsible for patient data: DERBYSHIRE COUNTY PCT,41229#5N6: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,463010,9851867,HG19/GRCh37,Binary,NA,NA,5288,MRC-IEU,457722,1,
"23",ebi-a-GCST006654,Vaginal discharge (smell),NA,public,1,2018,Hirata T,NA,29855537,East Asian,NA,5734,533138,HG19/GRCh37,NA,NA,NA,367,NA,5367,0,
"24",finn-b-MIGRAINE_TRIPTAN,"Migraine, single triptan purchase ok & required. ICD-code if available is included",MIGRAINE_TRIPTAN,public,1,2021,NA,Males and Females,,European,NA,,16380466,HG19/GRCh37,Binary,NA,NA,19676,NA,199116,0,
"25",finn-b-CD2_BENIGN_TRANSVERSE_COLON_EXALLC,Benign neoplasm: Transverse colon (all cancers excluded),CD2_BENIGN_TRANSVERSE_COLON_EXALLC,public,1,2021,NA,Males and Females,,European,NA,,16380338,HG19/GRCh37,Binary,NA,NA,992,NA,180105,0,
"26",ubm-a-2346,NET100 1190,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7916,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"27",finn-b-KRA_PSY_AUTISM_EXMORE,Autism spe (more controls excluded),KRA_PSY_AUTISM_EXMORE,public,1,2021,NA,Males and Females,,European,NA,,16380156,HG19/GRCh37,Binary,NA,NA,283,NA,166584,0,
"28",ebi-a-GCST003401,Glomerular filtration rate in non diabetics (creatinine),NA,public,1,2016,Pattaro C,NA,26831199,European,NA,118448,2118555,HG19/GRCh37,NA,NA,NA,,NA,,0,
"29",ubm-a-459,IDP dMRI TBSS L3 Anterior corona radiata L,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7532,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"30",ubm-a-90,IDP T1 FAST ROIs L front orb cortex,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,8427,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"31",finn-b-N14_VAGINITIS,Vaginitis/vulvovaginitis/vulvitis/abscess of vulva,N14_VAGINITIS,public,1,2021,NA,Males and Females,,European,NA,,16379540,HG19/GRCh37,Binary,NA,NA,2003,NA,111858,0,
"32",ubm-a-2506,NET100 1350,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7916,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"33",ukb-e-4825_EAS,Noisy workplace,NA,public,1,2020,Pan-UKB team,Males and Females,,East Asian,NA,1174,8249000,HG19/GRCh37,Continuous,NA,NA,1174,NA,0,0,
"34",ukb-e-24015_AFR,Sum of road length of major roads within 100m,NA,public,1,2020,Pan-UKB team,Males and Females,,African American or Afro-Caribbean,NA,6507,15532599,HG19/GRCh37,Continuous,NA,NA,6507,NA,0,0,
"35",ukb-e-104900_AFR,Time spent doing vigorous physical activity,NA,public,1,2020,Pan-UKB team,Males and Females,,African American or Afro-Caribbean,NA,1207,15533528,HG19/GRCh37,Continuous,NA,NA,1207,NA,0,0,
"36",ukb-b-19277,"Intra-ocular pressure, corneal-compensated (right)",5254: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,97653,9851867,HG19/GRCh37,Continuous,NA,NA,,MRC-IEU,,1,
"37",ubm-a-1506,NET100 0350,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7916,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"38",finn-b-L12_PYOGENGRANUL,Pyogenic granuloma,L12_PYOGENGRANUL,public,1,2021,NA,Males and Females,,European,NA,,16380442,HG19/GRCh37,Binary,NA,NA,197,NA,207482,0,
"39",ukb-b-17772,6mm cylindrical power angle (right),5114: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,84278,9851867,HG19/GRCh37,Continuous,NA,NA,,MRC-IEU,,1,
"40",finn-b-D3_COAGDEF_PURPUR_HAEMORRHAGIC,"Coagulation defects, purpura and other haemorrhagic conditions",D3_COAGDEF_PURPUR_HAEMORRHAGIC,public,1,2021,NA,Males and Females,,European,NA,,16380466,HG19/GRCh37,Binary,NA,NA,2693,NA,216099,0,
"41",ukb-d-22660_107,Gap coding: Unemployed,NA,public,1,2018,Neale lab,Males and Females,,European,NA,68042,11471563,HG19/GRCh37,Binary,NA,NA,3610,NA,64432,0,
"42",ukb-b-5863,Skin removed from poultry,103130: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,14205,9851867,HG19/GRCh37,Binary,NA,NA,13953,MRC-IEU,252,1,
"43",finn-b-O15_ABORT_FAILED,Failed attempted abortion,O15_ABORT_FAILED,public,1,2021,NA,Males and Females,,European,NA,,16378794,HG19/GRCh37,Binary,NA,NA,181,NA,89340,0,
"44",ukb-d-22601_31113033,"Job coding: laboratory technician, scientific assistant, cytology screener; hospital, medical or health technician",NA,public,1,2018,Neale lab,Males and Females,,European,NA,89866,10582924,HG19/GRCh37,Binary,NA,NA,2162,NA,87704,0,
"45",ebi-a-GCST90012077,C-C motif chemokine 20 levels,NA,public,1,2020,Folkersen L,NA,33067605,European,NA,21758,12718425,HG19/GRCh37,NA,NA,NA,,NA,,0,
"46",ukb-e-399_CSA,Number of incorrect matches in round,NA,public,1,2020,Pan-UKB team,Males and Females,,South Asian,NA,8769,9811561,HG19/GRCh37,Continuous,NA,NA,8769,NA,0,0,
"47",ubm-a-83,IDP T1 FAST ROIs R cing gyrus ant,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,8427,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"48",ukb-b-10309,Operation code: myomectomy/fibroids removed,20004#1509: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,462933,9851867,HG19/GRCh37,Binary,NA,NA,2559,MRC-IEU,460374,1,
"49",ebi-a-GCST90001852,CD3 on CD39+ resting CD4 regulatory T cell,NA,public,1,2020,Orr<U+00F9> V,NA,32929287,European,NA,2649,14779400,HG19/GRCh37,NA,NA,NA,,NA,,0,
"50",finn-b-CD2_BENIGN_EAR_RESP_EXALLC,Benign neoplasm of middle ear and respiratory system (all cancers excluded),CD2_BENIGN_EAR_RESP_EXALLC,public,1,2021,NA,Males and Females,,European,NA,,16380338,HG19/GRCh37,Binary,NA,NA,1045,NA,179982,0,
"51",ubm-a-1134,NET25 0188,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7916,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"52",ebi-a-GCST90001946,CD33 on CD14+ monocyte,NA,public,1,2020,Orr<U+00F9> V,NA,32929287,European,NA,1634,14155757,HG19/GRCh37,NA,NA,NA,,NA,,0,
"53",ukb-b-2703,PCT responsible for patient data: HALTON AND ST HELENS PCT,41229#5NM: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,463010,9851867,HG19/GRCh37,Binary,NA,NA,2167,MRC-IEU,460843,1,
"54",ubm-a-1867,NET100 0711,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7916,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"55",ubm-a-2500,NET100 1344,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7916,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"56",ubm-a-2432,NET100 1276,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7916,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"57",ubm-a-2289,NET100 1133,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7916,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"58",ukb-e-104370_CSA,Watercress intake,NA,public,1,2020,Pan-UKB team,Males and Females,,South Asian,NA,1469,9797409,HG19/GRCh37,Continuous,NA,NA,1469,NA,0,0,
"59",ukb-b-3258,Number of attempts,4291: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,152605,9851867,HG19/GRCh37,Categorical Ordered,NA,NA,,MRC-IEU,,1,
"60",ukb-e-20107_p3_AFR,Illnesses of father,NA,public,1,2020,Pan-UKB team,Males and Females,,African American or Afro-Caribbean,NA,4601,15538297,HG19/GRCh37,Binary,NA,NA,2089,NA,2512,0,
"61",ukb-b-4921,Diagnoses - main ICD10: M75.0 Adhesive capsulitis of shoulder,41202#M750: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,463010,9851867,HG19/GRCh37,Binary,NA,NA,1083,MRC-IEU,461927,1,
"62",ebi-a-GCST90010171,SLAM family member 7 levels,NA,public,1,2020,Gilly A,NA,33303764,European,NA,1299,18142274,HG19/GRCh37,NA,NA,NA,,NA,,0,
"63",ebi-a-GCST90000458,CXCL1 levels,NA,public,1,2020,Hillary RF,NA,32641083,European,NA,982,7883855,HG19/GRCh37,NA,NA,NA,,NA,,0,
"64",ukb-a-166,Treatment/medication code: flax oil tablet,NA,public,1,2017,Neale,Males and Females,,European,SD,337159,10894596,HG19/GRCh37,NA,NA,NA,552,Neale Lab,336607,1,
"65",ukb-b-15175,Vitamin and mineral supplements: Vitamin C,6155#3: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,460351,9851867,HG19/GRCh37,Binary,NA,NA,39880,MRC-IEU,420471,1,
"66",ubm-a-313,IDP dMRI TBSS MO Retrolenticular part of internal capsule L,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7532,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"67",ubm-a-2308,NET100 1152,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7916,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"68",finn-b-E4_PANCSECNAS,"Disorder of pancreatic internal secretion, other and/or unspecified",E4_PANCSECNAS,public,1,2021,NA,Males and Females,,European,NA,,16380465,HG19/GRCh37,Binary,NA,NA,103,NA,217509,0,
"69",ukb-e-2110_MID,Able to confide,NA,public,1,2020,Pan-UKB team,Males and Females,,"Greater Middle Eastern (Middle Eastern, North African, or Persian)",NA,1340,11842106,HG19/GRCh37,Continuous,NA,NA,1340,NA,0,0,
"70",finn-b-I9_AORTDIS,Dissection of aorta,I9_AORTDIS,public,1,2021,NA,Males and Females,,European,NA,,16380411,HG19/GRCh37,Binary,NA,NA,470,NA,206541,0,
"71",ukb-b-11748,Diagnoses - main ICD10: I47.1 Supraventricular tachycardia,41202#I471: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,463010,9851867,HG19/GRCh37,Binary,NA,NA,1306,MRC-IEU,461704,1,
"72",ukb-e-5463_CSA,Leg pain in calf/calves,NA,public,1,2020,Pan-UKB team,Males and Females,,South Asian,NA,1850,9793796,HG19/GRCh37,Binary,NA,NA,1099,NA,751,0,
"73",ebi-a-GCST90016625,Ulcerative colitis vs rheumatoid arthritis (ordinary least squares (OLS)),NA,public,1,2021,Peyrot WJ,NA,33686288,NA,NA,15843,5885195,HG19/GRCh37,NA,NA,NA,6968,NA,8875,0,
"74",ubm-a-1649,NET100 0493,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7916,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"75",ubm-a-53,IDP T1 FAST ROIs R inf temp gyrus ant,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,8427,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"76",ubm-a-2329,NET100 1173,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7916,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"77",finn-b-CHARCOT,Charcot foot,CHARCOT,public,1,2021,NA,Males and Females,,European,NA,,16380187,HG19/GRCh37,Binary,NA,NA,137,NA,162201,0,
"78",ukb-a-214,Illnesses of mother: Chronic bronchitis/emphysema,NA,public,1,2017,Neale,Males and Females,,European,SD,308780,10894596,HG19/GRCh37,NA,NA,NA,18252,Neale Lab,291541,1,
"79",finn-b-N14_OTHNONINFVAG,Other noninflammatory disorders of vagina,N14_OTHNONINFVAG,public,1,2021,NA,Males and Females,,European,NA,,16376363,HG19/GRCh37,Binary,NA,NA,1252,NA,68969,0,
"80",ukb-b-8072,Diagnoses - secondary ICD10: N40 Hyperplasia of prostate,41204#N40: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,463010,9851867,HG19/GRCh37,Binary,NA,NA,4133,MRC-IEU,458877,1,
"81",ukb-e-2296_EAS,Falls in the last year,NA,public,1,2020,Pan-UKB team,Males and Females,,East Asian,NA,2596,8260560,HG19/GRCh37,Continuous,NA,NA,2596,NA,0,0,
"82",ubm-a-853,IDP dMRI ProbtrackX ISOVF cst r,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7532,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"83",ebi-a-GCST90001957,CD33 on CD33+ HLA DR+ CD14-,NA,public,1,2020,Orr<U+00F9> V,NA,32929287,European,NA,1578,14129762,HG19/GRCh37,NA,NA,NA,,NA,,0,
"84",ubm-a-957,NET25 0011,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7916,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"85",ukb-d-L12_ACTINKERA,Actinic keratosis,NA,public,1,2018,Neale lab,Males and Females,,European,NA,361194,9790362,HG19/GRCh37,Binary,NA,NA,1349,NA,359845,0,
"86",ukb-b-4740,Feta intake,102880: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,64945,9851867,HG19/GRCh37,Categorical Ordered,NA,NA,,MRC-IEU,,1,
"87",finn-b-Z21_FIT_ADJ_OTH_DEVICES,Fitting and adjustment of other devices,Z21_FIT_ADJ_OTH_DEVICES,public,1,2021,NA,Males and Females,,European,NA,,16380387,HG19/GRCh37,Binary,NA,NA,4609,NA,193570,0,
"88",ukb-b-185,Frequency of travelling from home to job workplace,777: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,263534,9851867,HG19/GRCh37,Categorical Ordered,NA,NA,,MRC-IEU,,1,
"89",ukb-e-30660_MID,Direct bilirubin,NA,public,1,2020,Pan-UKB team,Males and Females,,"Greater Middle Eastern (Middle Eastern, North African, or Persian)",NA,1235,11849043,HG19/GRCh37,Continuous,NA,NA,1235,NA,0,0,
"90",ubm-a-2919,a2009s rh S postcentral area,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,8411,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"91",finn-b-J10_NECROTIC,Suppurative and necrotic conditions of lower respiratory tract,J10_NECROTIC,public,1,2021,NA,Males and Females,,European,NA,,16380466,HG19/GRCh37,Binary,NA,NA,667,NA,218125,0,
"92",ukb-d-LUNG_CANCER_MESOT,Lung cancer and mesothelioma,NA,public,1,2018,Neale lab,Males and Females,,European,NA,361194,10455414,HG19/GRCh37,Binary,NA,NA,2007,NA,359187,0,
"93",ebi-a-GCST90001897,CD28 on CD39+ CD8+ T cell,NA,public,1,2020,Orr<U+00F9> V,NA,32929287,European,NA,2914,14847481,HG19/GRCh37,NA,NA,NA,,NA,,0,
"94",ubm-a-2513,NET100 1357,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7916,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"95",ukb-e-6141_p2_EAS,How are people in household related to participant,NA,public,1,2020,Pan-UKB team,Males and Females,,East Asian,NA,2588,8313674,HG19/GRCh37,Binary,NA,NA,1349,NA,1239,0,
"96",ubm-a-2195,NET100 1039,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7916,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"97",ukb-e-1498_EAS,Coffee intake,NA,public,1,2020,Pan-UKB team,Males and Females,,East Asian,NA,2338,8264360,HG19/GRCh37,Continuous,NA,NA,2338,NA,0,0,
"98",ukb-d-H7_EYELIDDIS,Other disorders of eyelid,NA,public,1,2018,Neale lab,Males and Females,,European,NA,361194,11866341,HG19/GRCh37,Binary,NA,NA,4529,NA,356665,0,
"99",ukb-e-24008_EAS,Particulate matter air pollution 2.5-10um; 2010,NA,public,1,2020,Pan-UKB team,Males and Females,,East Asian,NA,2505,8268350,HG19/GRCh37,Continuous,NA,NA,2505,NA,0,0,
"100",ieu-a-1112,Primary sclerosing cholangitis,,public,1,2017,Ji,Males and Females,27992413,Mixed,,14890,7891603,HG19/GRCh37,Disease,Autoimmune / inflammatory,NA,2871,IPSCSG,12019,1,
"101",ukb-b-16652,"Non-cancer illness code, self-reported: pleurisy",20002#1125: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,462933,9851867,HG19/GRCh37,Binary,NA,NA,1562,MRC-IEU,461371,1,
"102",ieu-a-834,Rheumatoid arthritis,Effect allele frequencies are missing,public,1,2010,Stahl EA,Males and Females,20453842,European,log odds,25708,2556272,HG19/GRCh37,Disease,Autoimmune / inflammatory,NA,5539,NA,20169,2,
"103",ukb-e-20004_p40_AFR,Operation code,NA,public,1,2020,Pan-UKB team,Males and Females,,African American or Afro-Caribbean,NA,6624,15527923,HG19/GRCh37,Binary,NA,NA,842,NA,5782,0,
"104",ebi-a-GCST90006890,Chlamydia trachomatis PorB antibody levels,NA,public,1,2020,Butler-Laporte G,NA,33204752,European,NA,273,9138738,HG19/GRCh37,NA,NA,NA,,NA,,0,
"105",ubm-a-1234,NET100 0078,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7916,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"106",ebi-a-GCST006307,LDL cholesterol,NA,public,1,2018,Andaleon A,NA,29404214,Sub-Saharan African,NA,1017,4424003,HG19/GRCh37,NA,NA,NA,,NA,,0,
"107",finn-b-I9_CHD,Major coronary heart disease event,I9_CHD,public,1,2021,NA,Males and Females,,European,NA,,16380466,HG19/GRCh37,Binary,NA,NA,21012,NA,197780,0,
"108",ukb-d-22617_4131,Job SOC coding: Filing and other records assistants/clerks,NA,public,1,2018,Neale lab,Males and Females,,European,NA,91149,10008745,HG19/GRCh37,Binary,NA,NA,1537,NA,89612,0,
"109",ubm-a-1677,NET100 0521,NA,public,1,2018,Elliott LT,Males,30305740,European,NA,7916,11734354,HG19/GRCh37,Continuous,Psychiatric / neurological,NA,,NA,,0,
"110",ieu-a-1002,Leptin,Adjusted for BMI; effect allele frequencies are missing,public,1,2016,Kilpelainen,Males and Females,26833098,European,log ng/ml,32161,2474010,HG19/GRCh37,Risk factor,Hormone,NA,,NA,,1,
"111",ukb-b-10783,Illnesses of siblings: None of the above (group 2),20111#101: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,368679,9851867,HG19/GRCh37,Binary,NA,NA,309513,MRC-IEU,59166,1,
"112",finn-b-CD2_BENIGN_THYROID,Benign neoplasm of thyroid gland,CD2_BENIGN_THYROID,public,1,2021,NA,Males and Females,,European,NA,,16380466,HG19/GRCh37,Binary,NA,NA,455,NA,218337,0,
"113",finn-b-L12_CHRONICULCEROFSKIN,"Chronic ulcer of skin, not elsewhere classified",L12_CHRONICULCEROFSKIN,public,1,2021,NA,Males and Females,,European,NA,,16380442,HG19/GRCh37,Binary,NA,NA,822,NA,207482,0,
"114",ukb-e-R63_CSA,R63 Symptoms and signs concerning food and fluid intake,NA,public,1,2020,Pan-UKB team,Males and Females,,South Asian,NA,8876,9746892,HG19/GRCh37,Binary,NA,NA,248,NA,8628,0,
"115",ukb-e-6164_p4_AFR,Types of physical activity in last 4 weeks,NA,public,1,2020,Pan-UKB team,Males and Females,,African American or Afro-Caribbean,NA,6528,15526871,HG19/GRCh37,Binary,NA,NA,490,NA,6038,0,
"116",ebi-a-GCST004607,Plateletcrit,NA,public,1,2016,Astle WJ,NA,27863252,European,NA,164339,29147151,HG19/GRCh37,NA,NA,NA,,NA,,0,
"117",finn-b-E4_DELPUB,Delayed puberty,E4_DELPUB,public,1,2021,NA,Males and Females,,European,NA,,16380447,HG19/GRCh37,Binary,NA,NA,113,NA,211123,0,
"118",ebi-a-GCST006943,Feeling miserable,NA,public,1,2018,Nagel M,NA,29500382,European,NA,376097,10824771,HG19/GRCh37,NA,NA,NA,,NA,,0,
"119",finn-b-HYPOTHY_REIMB,"Hypothyroidism, drug reimbursement",HYPOTHY_REIMB,public,1,2021,NA,Males and Females,,European,NA,,16375729,HG19/GRCh37,Binary,NA,NA,7183,NA,59893,0,
"120",ukb-b-1306,Diagnoses - main ICD10: K29.6 Other gastritis,41202#K296: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,463010,9851867,HG19/GRCh37,Binary,NA,NA,1830,MRC-IEU,461180,1,
"121",finn-b-ST19_OTHER_UNSPE_INJURI_WRIST_HAND,Other and unspecified injuries of wrist and hand,ST19_OTHER_UNSPE_INJURI_WRIST_HAND,public,1,2021,NA,Males and Females,,European,NA,,16380376,HG19/GRCh37,Binary,NA,NA,416,NA,199036,0,
"122",ukb-e-20107_p8_AFR,Illnesses of father,NA,public,1,2020,Pan-UKB team,Males and Females,,African American or Afro-Caribbean,NA,4594,15524823,HG19/GRCh37,Binary,NA,NA,794,NA,3800,0,
"123",ukb-b-8699,PCT where patients GP was registered: CENTRAL MANCHESTER PCT,41230#5CL: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,463010,9851867,HG19/GRCh37,Binary,NA,NA,1225,MRC-IEU,461785,1,
"124",ukb-b-872,Operation code: transurethral resection of prostate (turp),20004#1209: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,462933,9851867,HG19/GRCh37,Binary,NA,NA,2359,MRC-IEU,460574,1,
"125",ukb-b-12646,Treatment speciality of consultant (recoded): General medicine,41246#1490: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,448935,9851867,HG19/GRCh37,Binary,NA,NA,87031,MRC-IEU,361904,1,
